"district_id","area_sqmi","perimeter_mi","reock","polsby_popper"
"AK-01",583360,24535,0.162,0.012
"AL-01",4845,626,0.282,0.156
"AL-02",9748,559,0.616,0.392
"AL-03",6873,484,0.41,0.369
"AL-04",8856,717,0.325,0.216
"AL-05",4067,340,0.361,0.442
"AL-06",4288,507,0.46,0.21
"AL-07",13047,789,0.399,0.263
"AR-01",20400,1411,0.341,0.129
"AR-02",5441,484,0.485,0.292
"AR-03",4244,349,0.437,0.437
"AR-04",23117,1038,0.486,0.269
"AZ-01",1615,220,0.442,0.419
"AZ-02",58493,1523,0.632,0.317
"AZ-03",207,79,0.492,0.421
"AZ-04",180,96,0.244,0.244
"AZ-05",406,126,0.546,0.322
"AZ-06",13720,855,0.395,0.236
"AZ-07",15431,1032,0.184,0.182
"AZ-08",579,146,0.502,0.34
"AZ-09",23378,1241,0.287,0.191
"CA-01",18047,1001,0.386,0.226
"CA-02",24729,1217,0.285,0.21
"CA-03",3568,400,0.442,0.28
"CA-04",4929,563,0.363,0.195
"CA-05",24358,1034,0.25,0.286
"CA-06",209,137,0.282,0.139
"CA-07",1452,320,0.33,0.178
"CA-08",1348,276,0.4,0.223
"CA-09",625,272,0.291,0.106
"CA-10",626,156,0.478,0.321
"CA-11",42,39,0.041,0.35
"CA-12",97,62,0.375,0.313
"CA-13",3852,448,0.443,0.241
"CA-14",547,124,0.425,0.45
"CA-15",121,79,0.203,0.246
"CA-16",535,190,0.299,0.187
"CA-17",184,83,0.506,0.334
"CA-18",5919,562,0.274,0.236
"CA-19",2832,627,0.119,0.09
"CA-20",10440,1080,0.397,0.112
"CA-21",653,216,0.281,0.177
"CA-22",4649,640,0.28,0.143
"CA-23",22231,993,0.476,0.283
"CA-24",4887,601,0.189,0.17
"CA-25",8369,749,0.366,0.188
"CA-26",2255,384,0.46,0.192
"CA-27",815,245,0.334,0.171
"CA-28",845,215,0.469,0.23
"CA-29",85,54,0.404,0.371
"CA-30",396,149,0.359,0.225
"CA-31",170,110,0.323,0.176
"CA-32",341,157,0.377,0.175
"CA-33",214,132,0.273,0.154
"CA-34",50,48,0.396,0.269
"CA-35",226,129,0.456,0.17
"CA-36",97,92,0.165,0.144
"CA-37",53,43,0.466,0.367
"CA-38",176,141,0.221,0.111
"CA-39",268,134,0.384,0.188
"CA-40",753,197,0.419,0.243
"CA-41",102,95,0.36,0.141
"CA-42",245,203,0.058,0.075
"CA-43",72,61,0.373,0.248
"CA-44",92,83,0.244,0.17
"CA-45",99,96,0.367,0.135
"CA-46",79,73,0.446,0.188
"CA-47",186,90,0.361,0.286
"CA-48",3002,558,0.375,0.121
"CA-49",576,194,0.25,0.192
"CA-50",431,217,0.22,0.115
"CA-51",593,191,0.353,0.205
"CA-52",691,177,0.225,0.279
"CO-01",155,132,0.182,0.111
"CO-02",11527,623,0.66,0.373
"CO-03",50050,1415,0.355,0.314
"CO-04",32266,1143,0.407,0.31
"CO-05",1473,181,0.545,0.563
"CO-06",311,184,0.259,0.116
"CO-07",7194,573,0.403,0.276
"CO-08",1030,229,0.402,0.248
"CT-01",675,220,0.439,0.175
"CT-02",2081,260,0.548,0.386
"CT-03",488,153,0.351,0.262
"CT-04",459,149,0.282,0.26
"CT-05",1278,260,0.504,0.238
"DE-01",2009,278,0.253,0.327
"FL-01",3574,303,0.48,0.491
"FL-02",10257,735,0.373,0.239
"FL-03",7520,444,0.536,0.479
"FL-04",1894,250,0.383,0.38
"FL-05",684,128,0.489,0.528
"FL-06",3776,290,0.723,0.566
"FL-07",942,163,0.47,0.447
"FL-08",1599,222,0.401,0.407
"FL-09",5416,414,0.467,0.396
"FL-10",215,82,0.479,0.397
"FL-11",1594,234,0.425,0.364
"FL-12",588,123,0.515,0.489
"FL-13",268,132,0.331,0.194
"FL-14",703,196,0.447,0.229
"FL-15",1696,287,0.334,0.259
"FL-16",2847,327,0.407,0.335
"FL-17",1250,266,0.243,0.221
"FL-18",1405,191,0.679,0.483
"FL-19",774,280,0.297,0.124
"FL-20",126,56,0.46,0.502
"FL-21",1668,204,0.464,0.506
