district_id,area_sqmi,perimeter_mi,reock,polsby_popper,adj
AK-01,583360,24535,0.162,0.012,
AL-01,4845,626,0.282,0.156,AL-02|AL-07|FL-01|MS-04
AL-02,9748,559,0.616,0.392,AL-01|AL-03|AL-06|AL-07|FL-01|FL-02|GA-02|GA-03
AL-03,6873,484,0.41,0.369,AL-02|AL-04|AL-06|GA-03|GA-14
AL-04,8856,717,0.325,0.216,AL-03|AL-05|AL-06|AL-07|GA-14|MS-01|TN-09
AL-05,4067,340,0.361,0.442,AL-04|GA-14|TN-04|TN-09
AL-06,4288,507,0.46,0.21,AL-02|AL-03|AL-04|AL-07
AL-07,13047,789,0.399,0.263,AL-01|AL-02|AL-04|AL-06|MS-01|MS-03|MS-04
AR-01,20400,1411,0.341,0.129,AR-02|AR-03|AR-04|LA-05|MO-07|MO-08|MS-01|MS-02|TN-05
AR-02,5441,484,0.485,0.292,AR-01|AR-04
AR-03,4244,349,0.437,0.437,AR-01|AR-04|MO-07|OK-02
AR-04,23117,1038,0.486,0.269,AR-01|AR-02|AR-03|LA-04|LA-05|OK-02|TX-01|TX-04
AZ-01,1615,220,0.442,0.419,AZ-02|AZ-03|AZ-04|AZ-05|AZ-08
AZ-02,58493,1523,0.632,0.317,AZ-01|AZ-03|AZ-04|AZ-05|AZ-06|AZ-07|AZ-08|AZ-09|CO-03|NM-02|NM-03|UT-03
AZ-03,207,79,0.492,0.421,AZ-01|AZ-02|AZ-04|AZ-07|AZ-08|AZ-09
AZ-04,180,96,0.244,0.244,AZ-01|AZ-02|AZ-03|AZ-05
AZ-05,406,126,0.546,0.322,AZ-01|AZ-02|AZ-04
AZ-06,13720,855,0.395,0.236,AZ-02|NM-02
AZ-07,15431,1032,0.184,0.182,AZ-02|AZ-03|AZ-09|CA-25
AZ-08,579,146,0.502,0.34,AZ-01|AZ-02|AZ-03|AZ-09
AZ-09,23378,1241,0.287,0.191,AZ-02|AZ-03|AZ-07|AZ-08|CA-23|CA-25|NV-01|NV-03|NV-04|UT-03
CA-01,18047,1001,0.386,0.226,CA-02|CA-03|CA-04|NV-02
CA-02,24729,1217,0.285,0.21,CA-01|CA-04|NV-02|OR-02|OR-04
CA-03,3568,400,0.442,0.28,CA-01|CA-04|CA-05|CA-06|CA-07|NV-02
CA-04,4929,563,0.363,0.195,CA-01|CA-02|CA-03|CA-06|CA-08
CA-05,24358,1034,0.25,0.286,CA-03|CA-07|CA-09|CA-13|CA-20|CA-21|CA-22|CA-23|NV-02|NV-03|NV-04
CA-06,209,137,0.282,0.139,CA-03|CA-04|CA-07|CA-08
CA-07,1452,320,0.33,0.178,CA-03|CA-05|CA-06|CA-08|CA-09
CA-08,1348,276,0.4,0.223,CA-04|CA-06|CA-07|CA-09|CA-10|CA-12
CA-09,625,272,0.291,0.106,CA-05|CA-07|CA-08|CA-10|CA-13|CA-14
CA-10,626,156,0.478,0.321,CA-08|CA-09|CA-12|CA-14
CA-11,42,39,0.041,0.35,CA-15
CA-12,97,62,0.375,0.313,CA-08|CA-10|CA-14
CA-13,3852,448,0.443,0.241,CA-05|CA-09|CA-14|CA-18|CA-22
CA-14,547,124,0.425,0.45,CA-09|CA-10|CA-12|CA-13|CA-17|CA-18
CA-15,121,79,0.203,0.246,CA-11|CA-16
CA-16,535,190,0.299,0.187,CA-15|CA-17|CA-18|CA-19
CA-17,184,83,0.506,0.334,CA-14|CA-16|CA-18
CA-18,5919,562,0.274,0.236,CA-13|CA-14|CA-16|CA-17|CA-19|CA-22
CA-19,2832,627,0.119,0.09,CA-16|CA-18|CA-22|CA-24
CA-20,10440,1080,0.397,0.112,CA-05|CA-21|CA-22|CA-23|CA-24|CA-26|CA-27
CA-21,653,216,0.281,0.177,CA-05|CA-20|CA-22
CA-22,4649,640,0.28,0.143,CA-05|CA-13|CA-18|CA-19|CA-20|CA-21|CA-24
