district_id,area_sqmi,perimeter_mi,reock,polsby_popper,adj
CA-23,22231,993,0.476,0.283,AZ-09|CA-05|CA-20|CA-25|CA-27|CA-28|CA-33|CA-39|CA-48|NV-03
CA-24,4887,601,0.189,0.17,CA-19|CA-20|CA-22|CA-26
CA-25,8369,749,0.366,0.188,AZ-07|AZ-09|CA-23|CA-48|CA-52
CA-26,2255,384,0.46,0.192,CA-20|CA-24|CA-27|CA-32
CA-27,815,245,0.334,0.171,CA-20|CA-23|CA-26|CA-28|CA-29|CA-30|CA-32
CA-28,845,215,0.469,0.23,CA-23|CA-27|CA-30|CA-31|CA-33|CA-34|CA-35|CA-38
CA-29,85,54,0.404,0.371,CA-27|CA-30|CA-32
CA-30,396,149,0.359,0.225,CA-27|CA-28|CA-29|CA-32|CA-34|CA-36|CA-37
CA-31,170,110,0.323,0.176,CA-28|CA-35|CA-38
CA-32,341,157,0.377,0.175,CA-26|CA-27|CA-29|CA-30|CA-36
CA-33,214,132,0.273,0.154,CA-23|CA-28|CA-35|CA-39
CA-34,50,48,0.396,0.269,CA-28|CA-30|CA-37|CA-38|CA-44
CA-35,226,129,0.456,0.17,CA-28|CA-31|CA-33|CA-38|CA-39|CA-40
CA-36,97,92,0.165,0.144,CA-30|CA-32|CA-37|CA-43|CA-44
CA-37,53,43,0.466,0.367,CA-30|CA-34|CA-36|CA-43|CA-44
CA-38,176,141,0.221,0.111,CA-28|CA-31|CA-34|CA-35|CA-40|CA-41|CA-44|CA-46
CA-39,268,134,0.384,0.188,CA-23|CA-33|CA-35|CA-40|CA-48
CA-40,753,197,0.419,0.243,CA-35|CA-38|CA-39|CA-46|CA-47|CA-48|CA-49
CA-41,102,95,0.36,0.141,CA-38|CA-42|CA-44|CA-45|CA-46
CA-42,245,203,0.058,0.075,CA-41|CA-44|CA-45|CA-46|CA-47
CA-43,72,61,0.373,0.248,CA-36|CA-37|CA-44
CA-44,92,83,0.244,0.17,CA-34|CA-36|CA-37|CA-38|CA-41|CA-42|CA-43
CA-45,99,96,0.367,0.135,CA-41|CA-42|CA-46
CA-46,79,73,0.446,0.188,CA-38|CA-40|CA-41|CA-42|CA-45|CA-47
CA-47,186,90,0.361,0.286,CA-40|CA-42|CA-46|CA-49
CA-48,3002,558,0.375,0.121,CA-23|CA-25|CA-39|CA-40|CA-49|CA-50|CA-51|CA-52
CA-49,576,194,0.25,0.192,CA-40|CA-47|CA-48|CA-50
CA-50,431,217,0.22,0.115,CA-48|CA-49|CA-51|CA-52
CA-51,593,191,0.353,0.205,CA-48|CA-50|CA-52
CA-52,691,177,0.225,0.279,CA-25|CA-48|CA-50|CA-51
CO-01,155,132,0.182,0.111,CO-04|CO-06|CO-07|CO-08
CO-02,11527,623,0.66,0.373,CO-03|CO-04|CO-07|CO-08|WY-01
CO-03,50050,1415,0.355,0.314,AZ-02|CO-02|CO-04|CO-05|CO-07|NM-03|UT-03|WY-01
CO-04,32266,1143,0.407,0.31,CO-01|CO-02|CO-03|CO-05|CO-06|CO-07|CO-08|KS-01|NE-03|NM-03|OK-03|WY-01
CO-05,1473,181,0.545,0.563,CO-03|CO-04|CO-07
CO-06,311,184,0.259,0.116,CO-01|CO-04|CO-07
CO-07,7194,573,0.403,0.276,CO-01|CO-02|CO-03|CO-04|CO-05|CO-06|CO-08
CO-08,1030,229,0.402,0.248,CO-01|CO-02|CO-04|CO-07
CT-01,675,220,0.439,0.175,CT-02|CT-03|CT-05|MA-01
CT-02,2081,260,0.548,0.386,CT-01|CT-03|MA-01|MA-02|RI-02
CT-03,488,153,0.351,0.262,CT-01|CT-02|CT-04|CT-05
CT-04,459,149,0.282,0.26,CT-03|CT-05|NY-16|NY-17
CT-05,1278,260,0.504,0.238,CT-01|CT-03|CT-04|MA-01|NY-17|NY-18
DE-01,2009,278,0.253,0.327,MD-01|PA-05|PA-06
FL-01,3574,303,0.48,0.491,AL-01|AL-02|FL-02
FL-02,10257,735,0.373,0.239,AL-02|FL-01|FL-03|GA-02|GA-08
FL-03,7520,444,0.536,0.479,FL-02|FL-04|FL-06|FL-11|FL-15|GA-01|GA-08
FL-04,1894,250,0.383,0.38,FL-03|FL-05|FL-06|GA-01
FL-05,684,128,0.489,0.528,FL-04|FL-06
FL-06,3776,290,0.723,0.566,FL-03|FL-04|FL-05|FL-07|FL-11
FL-07,942,163,0.47,0.447,FL-06|FL-08|FL-10|FL-11
FL-08,1599,222,0.401,0.407,FL-07|FL-09|FL-10
FL-09,5416,414,0.467,0.396,FL-08|FL-10|FL-11|FL-16|FL-17|FL-18|FL-21|FL-22
FL-10,215,82,0.479,0.397,FL-07|FL-08|FL-09|FL-11
FL-11,1594,234,0.425,0.364,FL-03|FL-06|FL-07|FL-09|FL-10|FL-15|FL-18
FL-12,588,123,0.515,0.489,FL-13|FL-14|FL-15
FL-13,268,132,0.331,0.194,FL-12|FL-14|FL-16
FL-14,703,196,0.447,0.229,FL-12|FL-13|FL-15|FL-16|FL-18
FL-15,1696,287,0.334,0.259,FL-03|FL-11|FL-12|FL-14|FL-18
FL-16,2847,327,0.407,0.335,FL-09|FL-13|FL-14|FL-17|FL-18
FL-17,1250,266,0.243,0.221,FL-09|FL-16|FL-19|FL-22
FL-18,1405,191,0.679,0.483,FL-09|FL-11|FL-14|FL-15|FL-16
FL-19,774,280,0.297,0.124,FL-17|FL-22
FL-20,126,56,0.46,0.502,FL-22|FL-25
FL-21,1668,204,0.464,0.506,FL-09|FL-22|FL-23
FL-22,5350,393,0.524,0.436,FL-09|FL-17|FL-19|FL-20|FL-21|FL-23|FL-25|FL-26|FL-28
FL-23,190,72,0.356,0.459,FL-21|FL-22|FL-25
FL-24,118,65,0.374,0.356,FL-25|FL-26|FL-27
FL-25,179,149,0.092,0.101,FL-20|FL-22|FL-23|FL-24|FL-26|FL-27
FL-26,936,145,0.545,0.562,FL-22|FL-24|FL-25|FL-27|FL-28
FL-27,129,73,0.397,0.306,FL-24|FL-25|FL-26|FL-28
FL-28,2622,651,0.163,0.078,FL-22|FL-26|FL-27
GA-01,7646,601,0.418,0.266,FL-03|FL-04|GA-08|GA-12|SC-06
GA-02,10128,655,0.45,0.297,AL-02|FL-02|GA-03|GA-08
GA-03,4251,422,0.47,0.3,AL-02|AL-03|GA-02|GA-05|GA-06|GA-08|GA-10|GA-13|GA-14
GA-04,274,117,0.404,0.25,GA-05|GA-06|GA-07|GA-09|GA-13
GA-05,226,97,0.378,0.302,GA-03|GA-04|GA-06|GA-13
GA-06,523,148,0.391,0.3,GA-03|GA-04|GA-05|GA-07|GA-11|GA-13|GA-14
GA-07,1159,232,0.335,0.271,GA-04|GA-06|GA-09|GA-11
GA-08,11089,766,0.346,0.237,FL-02|FL-03|GA-01|GA-02|GA-03|GA-10|GA-12
GA-09,3463,465,0.449,0.202,GA-04|GA-07|GA-10|GA-11|GA-13|GA-14|NC-11|SC-03|TN-03
GA-10,5343,499,0.518,0.27,GA-03|GA-08|GA-09|GA-12|GA-13|SC-03
GA-11,1502,242,0.522,0.323,GA-06|GA-07|GA-09|GA-14
GA-12,9831,594,0.508,0.35,GA-01|GA-08|GA-10|SC-02|SC-03|SC-06
GA-13,543,207,0.281,0.159,GA-03|GA-04|GA-05|GA-06|GA-09|GA-10
GA-14,2962,350,0.407,0.304,AL-03|AL-04|AL-05|GA-03|GA-06|GA-09|GA-11|TN-03|TN-04
HI-01,214,87,0.299,0.354,HI-02
HI-02,6261,972,0.003,0.083,HI-01
IA-01,10982,694,0.355,0.287,IA-02|IA-03|IA-04|IL-15|IL-16|IL-17|MO-06
IA-02,12963,622,0.536,0.421,IA-01|IA-04|IL-16|MN-01|WI-03
IA-03,10734,618,0.423,0.353,IA-01|IA-04|MO-06
IA-04,21505,957,0.484,0.295,IA-01|IA-02|IA-03|MN-01|MO-06|NE-01|NE-02|NE-03|SD-01
ID-01,39812,1598,0.206,0.196,ID-02|MT-01|NV-02|OR-02|WA-05
ID-02,43582,1262,0.576,0.344,ID-01|MT-01|NV-02|UT-02|WY-01
IL-01,619,233,0.252,0.143,IL-02|IL-04|IL-06|IL-07|IL-11|IL-14|IL-16
IL-02,3925,414,0.323,0.288,IL-01|IL-15|IL-16|IN-01|IN-04|IN-08
IL-03,157,140,0.193,0.1,IL-04|IL-05|IL-06|IL-07|IL-08|IL-11
IL-04,97,93,0.388,0.14,IL-01|IL-03|IL-06|IL-07
IL-05,158,155,0.15,0.083,IL-03|IL-07|IL-08|IL-09
IL-06,230,126,0.384,0.183,IL-01|IL-03|IL-04|IL-11
IL-07,69,71,0.295,0.169,IL-01|IL-03|IL-04|IL-05
IL-08,291,172,0.314,0.123,IL-03|IL-05|IL-09|IL-11
IL-09,172,134,0.127,0.12,IL-05|IL-08|IL-10|IL-11
IL-10,535,148,0.285,0.307,IL-09|IL-11|IL-16|WI-01
IL-11,926,270,0.277,0.16,IL-01|IL-03|IL-06|IL-08|IL-09|IL-10|IL-14|IL-16
IL-12,14264,809,0.453,0.274,IL-13|IL-15|IN-08|KY-01|MO-02|MO-08
IL-13,2298,514,0.113,0.109,IL-12|IL-15|MO-01|MO-02|MO-03
IL-14,1995,295,0.435,0.288,IL-01|IL-11|IL-16
IL-15,16970,1285,0.418,0.129,IA-01|IL-02|IL-12|IL-13|IL-16|IL-17|IN-08|MO-03|MO-06
IL-16,9011,1052,0.316,0.102,IA-01|IA-02|IL-01|IL-02|IL-10|IL-11|IL-14|IL-15|IL-17|WI-01|WI-02|WI-03
IL-17,4561,825,0.226,0.084,IA-01|IL-15|IL-16
IN-01,1111,178,0.4,0.443,IL-02|IN-02|IN-04|MI-05
IN-02,4391,321,0.632,0.535,IN-01|IN-03|IN-04|IN-05|MI-05
IN-03,4440,324,0.408,0.531,IN-02|IN-05|IN-06|MI-05|OH-04|OH-08|OH-09
IN-04,6119,432,0.382,0.413,IL-02|IN-01|IN-02|IN-05|IN-06|IN-07|IN-08|IN-09
IN-05,2207,222,0.584,0.561,IN-02|IN-03|IN-04|IN-06|IN-07
IN-06,3295,312,0.432,0.424,IN-03|IN-04|IN-05|IN-07|IN-09|OH-08
IN-07,283,70,0.566,0.719,IN-04|IN-05|IN-06
IN-08,8211,676,0.347,0.226,IL-02|IL-12|IL-15|IN-04|IN-09|KY-01|KY-02
IN-09,6093,459,0.458,0.364,IN-04|IN-06|IN-08|KY-02|KY-03|KY-04|OH-01|OH-08
KS-01,49802,1324,0.377,0.357,CO-04|KS-02|KS-04|NE-03|OK-03
KS-02,15495,1118,0.391,0.156,KS-01|KS-03|KS-04|MO-04|MO-06|MO-07|NE-03|OK-02
KS-03,2292,252,0.378,0.455,KS-02|MO-04
KS-04,14630,641,0.408,0.448,KS-01|KS-02|OK-02|OK-03
KY-01,11952,1192,0.176,0.106,IL-12|IN-08|KY-02|KY-04|KY-05|KY-06|MO-08|TN-05|TN-06|TN-07
KY-02,7443,592,0.541,0.267,IN-08|IN-09|KY-01|KY-03|KY-04
KY-03,323,94,0.389,0.46,IN-09|KY-02|KY-04
KY-04,4965,600,0.235,0.173,IN-09|KY-01|KY-02|KY-03|KY-05|KY-06|OH-01|OH-02
KY-05,11875,685,0.437,0.318,KY-01|KY-04|KY-06|OH-02|TN-02|TN-06|VA-09|WV-01
KY-06,3829,393,0.499,0.311,KY-01|KY-04|KY-05
LA-01,5399,1361,0.338,0.037,LA-02|LA-03|LA-05|LA-06|MS-04
LA-02,1171,445,0.164,0.074,LA-01|LA-06
LA-03,8042,858,0.268,0.137,LA-01|LA-04|LA-05|LA-06|TX-14
LA-04,13279,907,0.328,0.203,AR-04|LA-03|LA-05|TX-01|TX-14|TX-36
LA-05,15330,1179,0.382,0.139,AR-01|AR-04|LA-01|LA-03|LA-04|LA-06|MS-02|MS-03|MS-04
LA-06,3925,728,0.331,0.093,LA-01|LA-02|LA-03|LA-05
MA-01,2289,309,0.36,0.301,CT-01|CT-02|CT-05|MA-02|NY-18|NY-19|VT-01
MA-02,1860,315,0.325,0.235,CT-02|MA-01|MA-03|MA-04|MA-05|NH-02|RI-01|RI-02|VT-01
MA-03,778,201,0.298,0.241,MA-02|MA-05|MA-06|NH-01|NH-02
MA-04,709,214,0.315,0.194,MA-02|MA-05|MA-07|MA-08|MA-09|RI-01
MA-05,230,118,0.343,0.209,MA-02|MA-03|MA-04|MA-06|MA-07|MA-08
MA-06,568,172,0.466,0.242,MA-03|MA-05|NH-01
MA-07,64,82,0.198,0.119,MA-04|MA-05|MA-08
MA-08,305,184,0.501,0.113,MA-04|MA-05|MA-07|MA-09
MA-09,1370,593,0.254,0.049,MA-04|MA-08|RI-01
MD-01,4215,915,0.275,0.063,DE-01|MD-02|PA-06|PA-11|VA-02
MD-02,829,221,0.322,0.214,MD-01|MD-03|MD-06|MD-07|PA-11|PA-13
MD-03,530,157,0.263,0.272,MD-02|MD-04|MD-05|MD-06|MD-07|MD-08
MD-04,224,102,0.277,0.27,MD-03|MD-05|MD-08|VA-08
MD-05,1627,306,0.324,0.219,MD-03|MD-04|VA-07|VA-08
MD-06,2430,480,0.187,0.132,MD-02|MD-03|MD-08|PA-13|PA-14|VA-10|WV-02
MD-07,140,84,0.349,0.25,MD-02|MD-03
MD-08,280,95,0.567,0.388,MD-03|MD-04|MD-06|VA-08|VA-10|VA-11
ME-01,3599,894,0.248,0.057,ME-02|NH-01
ME-02,29078,1683,0.46,0.129,ME-01|NH-01|NH-02
MI-01,27857,2449,0.236,0.058,MI-02|MI-08|WI-07|WI-08
MI-02,9901,540,0.508,0.427,MI-01|MI-03|MI-04|MI-07|MI-08
MI-03,830,161,0.361,0.401,MI-02|MI-04
MI-04,2441,264,0.439,0.441,MI-02|MI-03|MI-05|MI-07
MI-05,5350,474,0.194,0.299,IN-01|IN-02|IN-03|MI-04|MI-06|MI-07|OH-09
MI-06,1006,175,0.412,0.414,MI-05|MI-07|MI-11|MI-12|MI-13
MI-07,2810,250,0.519,0.565,MI-02|MI-04|MI-05|MI-06|MI-08|MI-09|MI-11
MI-08,2267,273,0.377,0.383,MI-01|MI-02|MI-07|MI-09
MI-09,4698,386,0.483,0.396,MI-07|MI-08|MI-10|MI-11
MI-10,229,79,0.467,0.462,MI-09|MI-11|MI-13
MI-11,335,101,0.486,0.417,MI-06|MI-07|MI-09|MI-10|MI-12|MI-13
MI-12,191,69,0.568,0.512,MI-06|MI-11|MI-13
MI-13,222,94,0.245,0.314,MI-06|MI-10|MI-11|MI-12
MN-01,12429,727,0.23,0.296,IA-02|IA-04|MN-02|MN-07|SD-01|WI-03
MN-02,1806,233,0.408,0.419,MN-01|MN-03|MN-04|MN-05|MN-06|MN-07|WI-03|WI-07
MN-03,516,137,0.567,0.347,MN-02|MN-05|MN-06
MN-04,333,86,0.512,0.57,MN-02|MN-05|MN-06|MN-08|WI-03|WI-07
MN-05,137,60,0.496,0.477,MN-02|MN-03|MN-04|MN-06
MN-06,2610,371,0.426,0.239,MN-02|MN-03|MN-04|MN-05|MN-07|MN-08
MN-07,31941,1361,0.292,0.217,MN-01|MN-02|MN-06|MN-08|ND-01|SD-01
MN-08,34395,1316,0.399,0.25,MN-04|MN-06|MN-07|WI-07
MO-01,250,81,0.508,0.478,IL-13|MO-02|MO-03
MO-02,3632,331,0.582,0.416,IL-12|IL-13|MO-01|MO-03|MO-05|MO-08
MO-03,5918,437,0.441,0.39,IL-13|IL-15|MO-01|MO-02|MO-05|MO-06
MO-04,10429,613,0.43,0.349,KS-02|KS-03|MO-05|MO-06|MO-07|MO-08
MO-05,8312,692,0.349,0.218,MO-02|MO-03|MO-04|MO-06|MO-08
MO-06,16777,764,0.36,0.361,IA-01|IA-03|IA-04|IL-15|KS-02|MO-03|MO-04|MO-05|NE-03
MO-07,5863,371,0.524,0.534,AR-01|AR-03|KS-02|MO-04|MO-08|OK-02
MO-08,18477,914,0.521,0.278,AR-01|IL-12|KY-01|MO-02|MO-04|MO-05|MO-07|TN-05
MS-01,10097,566,0.481,0.397,AL-04|AL-07|AR-01|MS-02|MS-03|TN-05|TN-09
MS-02,18413,1301,0.3,0.137,AR-01|LA-05|MS-01|MS-03
MS-03,11832,745,0.344,0.268,AL-07|LA-05|MS-01|MS-02|MS-04
MS-04,7357,510,0.509,0.355,AL-01|AL-07|LA-01|LA-05|MS-03
MT-01,40667,1518,0.337,0.222,ID-01|ID-02|MT-02|WY-01
MT-02,105972,1571,0.589,0.539,MT-01|ND-01|SD-01|WY-01
NC-01,10560,1825,0.388,0.04,NC-03|NC-13|VA-02|VA-04|VA-05
NC-02,413,127,0.495,0.324,NC-04|NC-13
NC-03,5114,458,0.606,0.306,NC-01|NC-07|NC-13
NC-04,1082,219,0.454,0.283,NC-02|NC-09|NC-13
NC-05,4237,459,0.295,0.253,NC-06|NC-09|NC-10|NC-11|NC-13|NC-14|TN-01|VA-05|VA-09
NC-06,1687,254,0.397,0.328,NC-05|NC-08|NC-09|NC-10|NC-12|NC-14
NC-07,4955,436,0.532,0.327,NC-03|NC-08|NC-09|NC-13|SC-07
NC-08,3767,387,0.359,0.317,NC-06|NC-07|NC-09|NC-12|NC-14|SC-05|SC-07
NC-09,3307,458,0.386,0.198,NC-04|NC-05|NC-06|NC-07|NC-08|NC-13
NC-10,1924,287,0.275,0.293,NC-05|NC-06|NC-14
NC-11,6307,511,0.296,0.303,GA-09|NC-05|NC-14|SC-03|SC-04|TN-01|TN-02|TN-03
NC-12,275,102,0.582,0.332,NC-06|NC-08|NC-14
NC-13,3765,542,0.391,0.161,NC-01|NC-02|NC-03|NC-04|NC-05|NC-07|NC-09|VA-05
NC-14,2234,392,0.322,0.182,NC-05|NC-06|NC-08|NC-10|NC-11|NC-12|SC-04|SC-05
ND-01,70500,1189,0.537,0.626,MN-07|MT-02|SD-01
NE-01,6045,543,0.409,0.258,IA-04|NE-02|NE-03
NE-02,1247,191,0.477,0.428,IA-04|NE-01|NE-03
NE-03,69944,1671,0.36,0.315,CO-04|IA-04|KS-01|KS-02|MO-06|NE-01|NE-02|SD-01|WY-01
NH-01,2306,409,0.25,0.173,MA-03|MA-06|ME-01|ME-02|NH-02
NH-02,6957,696,0.236,0.18,MA-02|MA-03|ME-02|NH-01|VT-01
NJ-01,380,106,0.503,0.429,NJ-02|NJ-03|PA-02|PA-03|PA-05
NJ-02,2206,350,0.36,0.226,NJ-01|NJ-03|NJ-04|PA-05
NJ-03,1103,229,0.328,0.264,NJ-01|NJ-02|NJ-04|NJ-06|NJ-12|PA-01|PA-02
NJ-04,700,165,0.416,0.323,NJ-02|NJ-03|NJ-06
NJ-05,677,180,0.294,0.262,NJ-07|NJ-09|NJ-11|NY-13|NY-15|NY-16|NY-17|NY-18|PA-08
NJ-06,206,154,0.2,0.11,NJ-03|NJ-04|NJ-07|NJ-12
NJ-07,1376,279,0.455,0.223,NJ-05|NJ-06|NJ-08|NJ-10|NJ-11|NJ-12|PA-01|PA-07|PA-08
NJ-08,56,78,0.255,0.114,NJ-07|NJ-09|NJ-10|NJ-11|NY-10|NY-12
NJ-09,118,88,0.274,0.193,NJ-05|NJ-08|NJ-11|NY-12|NY-13
NJ-10,79,76,0.345,0.171,NJ-07|NJ-08|NJ-11
NJ-11,412,141,0.602,0.262,NJ-05|NJ-07|NJ-08|NJ-09|NJ-10
NJ-12,445,167,0.41,0.201,NJ-03|NJ-06|NJ-07|PA-01
NM-01,17594,841,0.48,0.313,NM-02|NM-03
NM-02,51577,1453,0.381,0.307,AZ-02|AZ-06|NM-01|NM-03|TX-16|TX-19|TX-23
NM-03,52446,1556,0.328,0.272,AZ-02|CO-03|CO-04|NM-01|NM-02|OK-03|TX-13|TX-19|UT-03
NV-01,1019,168,0.524,0.451,AZ-09|NV-03|NV-04
NV-02,65441,1182,0.549,0.589,CA-01|CA-02|CA-03|CA-05|ID-01|ID-02|NV-04|OR-02|UT-02|UT-04
NV-03,2025,313,0.238,0.26,AZ-09|CA-05|CA-23|NV-01|NV-04
NV-04,41986,1015,0.433,0.513,AZ-09|CA-05|NV-01|NV-02|NV-03|UT-03|UT-04
NY-01,794,277,0.133,0.13,NY-02|NY-03
NY-02,351,96,0.319,0.475,NY-01|NY-03|NY-04
NY-03,198,119,0.421,0.176,NY-01|NY-02|NY-04|NY-05|NY-06|NY-14
NY-04,134,51,0.65,0.644,NY-02|NY-03|NY-05
NY-05,57,48,0.259,0.31,NY-03|NY-04|NY-06|NY-07|NY-08
NY-06,26,28,0.369,0.401,NY-03|NY-05|NY-07|NY-14
NY-07,22,28,0.399,0.366,NY-05|NY-06|NY-08|NY-10|NY-12|NY-14
NY-08,36,40,0.413,0.284,NY-05|NY-07|NY-09|NY-10|NY-11
NY-09,15,18,0.489,0.561,NY-08|NY-10|NY-11
NY-10,17,30,0.313,0.245,NJ-08|NY-07|NY-08|NY-09|NY-11|NY-12
NY-11,64,49,0.308,0.343,NY-08|NY-09|NY-10
NY-12,13,18,0.401,0.501,NJ-08|NJ-09|NY-07|NY-10|NY-13|NY-14
NY-13,15,23,0.299,0.334,NJ-05|NJ-09|NY-12|NY-14|NY-15
NY-14,37,43,0.364,0.25,NY-03|NY-06|NY-07|NY-12|NY-13|NY-15|NY-16
NY-15,20,28,0.365,0.307,NJ-05|NY-13|NY-14|NY-16
NY-16,134,60,0.616,0.472,CT-04|NJ-05|NY-14|NY-15|NY-17
NY-17,903,154,0.456,0.476,CT-04|CT-05|NJ-05|NY-16|NY-18
NY-18,1932,297,0.394,0.276,CT-05|MA-01|NJ-05|NY-17|NY-19|PA-08
NY-19,8362,721,0.341,0.202,MA-01|NY-18|NY-20|NY-21|NY-22|NY-23|NY-24|PA-08|PA-09|VT-01
NY-20,1401,233,0.449,0.325,NY-19|NY-21|VT-01
NY-21,17011,769,0.569,0.362,NY-19|NY-20|NY-22|NY-24|VT-01
NY-22,2489,273,0.452,0.42,NY-19|NY-21|NY-24
NY-23,6513,607,0.234,0.222,NY-19|NY-24|NY-26|PA-09|PA-15|PA-16
NY-24,7390,891,0.26,0.117,NY-19|NY-21|NY-22|NY-23|NY-25|NY-26
NY-25,716,131,0.467,0.525,NY-24
NY-26,274,86,0.431,0.462,NY-23|NY-24
OH-01,1077,283,0.256,0.169,IN-09|KY-04|OH-02|OH-08|OH-10|OH-15
OH-02,7660,615,0.303,0.255,KY-04|KY-05|OH-01|OH-12|OH-15|WV-01|WV-02
OH-03,221,68,0.69,0.591,OH-12|OH-15
OH-04,5366,461,0.387,0.317,IN-03|OH-05|OH-07|OH-08|OH-09|OH-12|OH-15
OH-05,4187,399,0.436,0.331,OH-04|OH-07|OH-09
OH-06,3979,414,0.459,0.291,OH-07|OH-12|OH-13|OH-14|PA-16|PA-17|WV-02
OH-07,1362,283,0.284,0.214,OH-04|OH-05|OH-06|OH-11|OH-12|OH-13|OH-14
OH-08,1683,327,0.28,0.198,IN-03|IN-06|IN-09|OH-01|OH-04|OH-10|OH-15
OH-09,3462,493,0.253,0.179,IN-03|MI-05|OH-04|OH-05
OH-10,955,160,0.457,0.468,OH-01|OH-08|OH-15
OH-11,216,95,0.353,0.299,OH-07|OH-14
OH-12,5142,466,0.416,0.298,OH-02|OH-03|OH-04|OH-06|OH-07|OH-15|WV-02
OH-13,601,156,0.368,0.31,OH-06|OH-07|OH-14
OH-14,2583,240,0.485,0.564,OH-06|OH-07|OH-11|OH-13|PA-16
OH-15,2717,452,0.325,0.167,OH-01|OH-02|OH-03|OH-04|OH-08|OH-10|OH-12
OK-01,1104,199,0.441,0.349,OK-02|OK-03
OK-02,22415,1000,0.441,0.282,AR-03|AR-04|KS-02|KS-04|MO-07|OK-01|OK-03|OK-04|OK-05|TX-04
OK-03,32901,1314,0.271,0.24,CO-04|KS-01|KS-04|NM-03|OK-01|OK-02|OK-04|OK-05|TX-13
OK-04,9892,688,0.453,0.262,OK-02|OK-03|OK-05|TX-04|TX-13|TX-26
OK-05,3584,354,0.499,0.358,OK-02|OK-03|OK-04
