Calculated by The Downballot,,,Subscribe to our newsletter,,,,,
District,Incumbent,Party,2024,,,2020,,
,,,Harris,Trump,Margin,Biden,Trump,Margin
AK-AL,Nick Begich,(R),41,55,-13,43,53,-10
AL-01,Barry Moore,(R),22,77,-55,24,75,-50
AL-02,Shomari Figures,(D),54,45,8,56,43,12
AL-03,Mike Rogers,(R),26,73,-47,29,70,-41
AL-04,Robert Aderholt,(R),16,83,-66,18,81,-62
AL-05,Dale Strong,(R),35,64,-29,36,63,-27
AL-06,Gary Palmer,(R),30,69,-39,30,68,-38
AL-07,Terri Sewell,(D),61,38,23,64,35,29
AR-01,Rick Crawford,(R),26,72,-45,28,69,-41
AR-02,French Hill,(R),41,57,-16,42,55,-13
AR-03,Steve Womack,(R),36,61,-25,37,60,-23
AR-04,Bruce Westerman,(R),29,69,-40,31,66,-35
AZ-01,David Schweikert,(R),48,51,-3,50,49,1
AZ-02,Eli Crane,(R),42,57,-15,45,53,-8
AZ-03,Yassamin Ansari,(D),69,29,40,75,24,51
AZ-04,Greg Stanton,(D),53,46,7,54,44,10
AZ-05,Andy Biggs,(R),39,59,-20,41,57,-16
AZ-06,Juan Ciscomani,(R),49,50,-1,49.3,49.2,0.1
AZ-07,Adelita Grijalva,(D),60,38,22,66,33,33
AZ-08,Abe Hamadeh,(R),41,58,-16,43,56,-14
AZ-09,Paul Gosar,(R),34,65,-31,36,62,-26
CA-01,VACANT (LaMalfa),(R),36,61,-25,39,58,-19
CA-02,Jared Huffman,(D),71,26,45,74,24,49
CA-03,Kevin Kiley,(R),47,50,-4,48,50,-2
CA-04,Mike Thompson,(D),64,33,31,67,30,37
CA-05,Tom McClintock,(R),40,58,-18,43,55,-12
CA-06,Ami Bera,(D),55,41,14,58,39,18
CA-07,Doris Matsui,(D),63,33,30,67,30,37
CA-08,John Garamendi,(D),70,27,44,76,22,54
CA-09,Josh Harder,(D),48,49,-2,55,43,13
CA-10,Mark DeSaulnier,(D),65,31,34,69,29,39
CA-11,Nancy Pelosi,(D),82,14,68,86,12,75
CA-12,Lateefah Simon,(D),85,11,74,89,9,81
CA-13,Adam Gray,(D),46,51,-5,54,43,11
CA-14,VACANT (Swalwell),(D),66,30,35,72,26,45
CA-15,Kevin Mullin,(D),72,24,48,78,20,57
CA-16,Sam Liccardo,(D),72,24,49,75,22,53
CA-17,Ro Khanna,(D),67,29,38,73,25,47
CA-18,Zoe Lofgren,(D),63,34,30,71,27,44
CA-19,Jimmy Panetta,(D),65,31,34,69,29,40
CA-20,Vince Fong,(R),34,64,-30,36,61,-25
CA-21,Jim Costa,(D),51,47,4,59,39,20
CA-22,David Valadao,(R),46,52,-6,55,42,13
CA-23,Jay Obernolte,(R),40,57,-17,44,54,-10
CA-24,Salud Carbajal,(D),61,36,25,63,34,29
CA-25,Raul Ruiz,(D),50,48,2,57,41,15
CA-26,Julia Brownley,(D),55,42,13,59,39,20
CA-27,George Whitesides,(D),50,47,4,55,43,12
CA-28,Judy Chu,(D),62,35,27,66,32,34
CA-29,Luz Rivas,(D),66,31,35,75,23,51
CA-30,Laura Friedman,(D),69,28,41,72,26,46
CA-31,Gil Cisneros,(D),57,40,17,64,33,31
CA-32,Brad Sherman,(D),64,33,31,69,29,41
CA-33,Pete Aguilar,(D),53,44,9,62,36,25
CA-34,Jimmy Gomez,(D),73,22,51,81,17,64
CA-35,Norma Torres,(D),54,43,10,63,35,28
CA-36,Ted Lieu,(D),68,29,39,71,27,44
CA-37,Sydney Kamlager-Dove,(D),79,18,60,86,12,73
CA-38,Linda Sanchez,(D),56,40,16,64,34,30
CA-39,Mark Takano,(D),53,44,10,62,36,26
CA-40,Young Kim,(R),47,49,-2,50,48,2
CA-41,Ken Calvert,(R),46,52,-6,49,50,-1
CA-42,Robert Garcia,(D),64,32,32,72,26,46
CA-43,Maxine Waters,(D),73,24,49,81,17,64
CA-44,Nanette Barragan,(D),65,32,34,73,25,48
CA-45,Derek Tran,(D),49,48,2,52,46,6
CA-46,Lou Correa,(D),57,40,18,64,34,30
CA-47,Dave Min,(D),50,46,4,54,43,11
CA-48,Darrell Issa,(R),41,56,-15,43,55,-12
CA-49,Mike Levin,(D),52,45,8,55,43,11
CA-50,Scott Peters,(D),63,34,30,65,32,33
CA-51,Sara Jacobs,(D),60,37,23,62,35,27
CA-52,Juan Vargas,(D),59,38,21,67,31,37
CO-01,Diana DeGette,(D),77,21,56,80,18,61
CO-02,Joe Neguse,(D),69,29,40,69,29,40
CO-03,Jeff Hurd,(R),44,54,-10,45,53,-8
CO-04,Lauren Boebert,(R),40,58,-18,39,58,-19
CO-05,Jeff Crank,(R),44,53,-9,43,53,-10
CO-06,Jason Crow,(D),58,39,20,61,37,24
CO-07,Brittany Pettersen,(D),56,41,15,56,42,14
CO-08,Gabe Evans,(R),48,50,-2,51,46,5
CT-01,John Larson,(D),61,38,23,63,35,28
CT-02,Joe Courtney,(D),53,45,8,55,43,11
CT-03,Rosa DeLauro,(D),56,42,14,59,40,20
CT-04,Jim Himes,(D),61,38,23,65,34,31
CT-05,Jahana Hayes,(D),52,46,6,55,44,11
DE-AL,Sarah McBride,(D),57,42,15,59,40,19
FL-01,Jimmy Patronis,(R),31,68,-37,33,65,-32
FL-02,Neal Dunn,(R),41,59,-18,44,55,-11
FL-03,Kat Cammack,(R),39,60,-21,42,57,-14
FL-04,Aaron Bean,(R),44,55,-12,46,53,-7
FL-05,John Rutherford,(R),39,60,-21,41,57,-16
FL-06,Randy Fine,(R),35,65,-30,38,61,-24
FL-07,Cory Mills,(R),43,56,-12,47,52,-6
FL-08,Mike Haridopolos,(R),38,61,-22,41,58,-18
FL-09,Darren Soto,(D),51,48,4,58,41,17
FL-10,Maxwell Frost,(D),61,38,23,65,34,32
FL-11,Daniel Webster,(R),41,58,-16,44,55,-11
FL-12,Gus Bilirakis,(R),32,67,-35,35,64,-29
FL-13,Anna Paulina Luna,(R),44,55,-12,46,53,-7
FL-14,Kathy Castor,(D),53,46,8,59,40,19
FL-15,Laurel Lee,(R),44,55,-11,48,51,-3
FL-16,Vern Buchanan,(R),42,57,-15,45,54,-9
FL-17,Greg Steube,(R),38,62,-24,42,58,-16
FL-18,Scott Franklin,(R),35,64,-29,38,61,-23
FL-19,Byron Donalds,(R),35,64,-29,39,60,-21
FL-20,VACANT (Cherfilus-McCormick),(D),69,30,40,76,24,52
FL-21,Brian Mast,(R),41,58,-17,45,54,-9
FL-22,Lois Frankel,(D),52,47,6,58,41,18
FL-23,Jared Moskowitz,(D),51,49,2,56,43,13
FL-24,Frederica Wilson,(D),65,35,30,74,25,49
FL-25,Debbie Wasserman Schultz,(D),52,47,5,60,40,20
FL-26,Mario Diaz-Balart,(R),32,67,-35,41,59,-18
FL-27,Maria Elvira Salazar,(R),42,57,-15,49.6,49.9,-0.3
FL-28,Carlos Gimenez,(R),37,62,-25,47,53,-6
GA-01,Buddy Carter,(R),42,58,-16,43,56,-13
GA-02,Sanford Bishop,(D),54,46,8,55,44,10
GA-03,Brian Jack,(R),35,65,-30,34,64,-30
GA-04,Hank Johnson,(D),76,23,52,78,21,58
GA-05,Nikema Williams,(D),85,14,72,86,13,73
GA-06,Lucy McBath,(D),75,25,50,74,25,49
GA-07,Rich McCormick,(R),38,60,-22,40,59,-19
GA-08,Austin Scott,(R),34,65,-31,36,63,-28
GA-09,Andrew Clyde,(R),33,67,-34,33,65,-32
GA-10,Mike Collins,(R),39,60,-21,39,60,-21
GA-11,Barry Loudermilk,(R),38,61,-23,38,60,-22
GA-12,Rick Allen,(R),43,57,-14,44,54,-10
GA-13,VACANT (Scott),(D),71,28,42,70,29,41
GA-14,Clay Fuller,(R),31,68,-37,31,68,-38
HI-01,Ed Case,(D),62,37,25,64,34,29
