district_id,n_points,n_sampled,far_snap_dropped,isolated_dropped,max_snap_m,max_drive_min,from_lon,from_lat,to_lon,to_lat,max_route_mi,span_mi,span_drive_min,span_from_lon,span_from_lat,span_to_lon,span_to_lat,span_route_mi,geo_diameter_mi,max_drive_min_ferry,ferry_from_lon,ferry_from_lat,ferry_to_lon,ferry_to_lat,unreachable_pairs,total_pairs,largest_component,max_route_poly,span_route_poly
AR-03,24,72,0,0,1583,236.6,-94.041093,35.201114,-93.307829,36.483917,168.6,105.2,213.7,-94.351261,35.218336,-93.307829,36.483917,152.5,105.2,236.6,-94.041093,35.201114,-93.307829,36.483917,0,552,24,}ezuExk~|PzFwm@|t@f_AlbBoc@g]lqY}hCv{Fu_CfwP}qA|mCobDl_FosHhrEytC}^ofB_kDagJgBs_DatGwxBgF_gDq`NaaPazBomRifJ{xHd}EooIuwAqqGfd@ktGeaBc_KzlCgzSukAo~Fr_BypAw\cmCytBchA_rEqtHiXvi@o~NwgC{`Nlc@yuJ~{Ao~BnOewFojLs~@e^weHyjAorC}mByBkb@qfBuuEiXqaBpeA}lE}cDocCho@o{B}fCaq@oqLvwDwkQkcC}G{CcjB}vBszAe~BsDkVyyFcjBqvBkS_kFieCiy@knBitCp{@{tBzJe{M,sq}uEj~z~Ps_@gtG}lFxaJquHpuEqvCo^ofB_kDw~IdA}gDoyGwxBgF_gDq`NaaPazBomRifJ{xHd}EooIuwAqqGfd@ktGeaBe|JnlCe}SikAokGh`BcmEilC{nAezE{kHwL~b@yhOwgC{`Nlc@yuJ~{Ao~BnOewFojLs~@e^weHyjAorC}mByBkb@qfBuuEiXqaBpeA}lE}cDocCho@o{B}fCaq@oqLvwDwkQkcC}G{CcjB}vBszAe~BsDkVyyFcjBqvBkS_kFieCiy@knBitCp{@{tBzJe{M
AR-04,24,72,0,0,2550,525.6,-92.048517,33.034506,-93.463169,35.958369,357.8,227.4,466.7,-91.481582,33.127044,-93.90444,35.741652,339.2,227.4,525.6,-92.048517,33.034506,-93.463169,35.958369,0,552,24,u`shEffypP~v@{aLamTo{BvGuqZmhTavCyyUjwI_us@qqH_ZlwOgvKkX{fHrgUs|k@d{Gyce@{eFgnYtng@ke@`cdAyrHbfe@olRpuY{w@`dPuuSuk@szWpq\vfArhjAa{QkzDo~I}vNsaW_mBakJsn_@m{L_iIu{]aiFu}KrmJm}ChqZcyVjbTkxe@~zAecKipH}pFz|JuyNcfTeo^fgOjpIz_C,_ceiEznjmPhyAbqAwl@r{Lwv@dtCiyGbcB}HzwQeoHjuQsnYhnI}pP}I_kRgmHawNrE_ZlwOgvKkX{fHrgU_vr@xwGufIkJ_cDw|Gc|Ho`@saEbfBmcDhmKchK~lEu`HjrTupAp`RhtAhcPykBfzn@eqFlkV}eGrhDew@jgBj_BnpBmbBwQ{iHndNat@pbh@yeC{DkiBfjEs[zqm@gnDptLbPpu\kc[~lc@a\xuRibFjqK{lArjWszOcpGghKd{L}}MzQq_BwhB{zHbpDsKkjHy{Gg}HuxD{iRe|RtBgx@naBwlO}yMecU}|D{fM{IuyDvnEkxGyKw|WosGkiB~fDlu@voEymGb|C
AZ-01,24,72,28,0,4504,193.4,-111.881527,34.007048,-111.337899,33.705488,79.8,47.9,131.7,-111.472434,34.004793,-112.09435,33.542733,69.6,47.9,193.4,-111.881527,34.007048,-111.337899,33.705488,0,552,24,a_qnEpzziTnf@{h@zfAq\pb@jUlcC_bAln@uiElqDm{AfdCvG|L~w@pl@mq@tKhRzaBog@dMzg@h|ClnAd_CphCpmAt{Eva_@qW`e@tf@fiBiPlFmy@r|AwsAn~AmuCzaBqv@Hm{HfWmdAaUymFtl@usB~s@}r@suAo_EyMgiKs{@ivBksDwoDsuDcqFsnDg~Cdv@ao@tPcdByc@ijAgw@\{IubA{kAzBkQic@}mBr^sp@gf@wf@y{Dv]ujBjl@n@sNwk@zbA}o@w@_mBfu@cq@{Nyw@w}@eSmj@mjAv`BfA,}ppnEt}jgTqLiyBz\oI[cv@nkAtMxq@me@jfBlzAj_DyM`iAlaBhg@wfAzw@wWz|A~j@n{Ag]`aCxaC`dC_a@bgHpaD|mDQdoF~gBppGceArdEjkDhtEdaH|zCliC`dApnDdHb|I|qA|lDos@zq@cm@nzBlUvgFqWpiASjxj@x}B~mD`tC~[G|pHoY`S
AZ-02,24,72,34,0,4828,695.4,-112.469726,36.97653,-112.24814,33.37728,536.9,328.6,620.2,-111.987303,32.879356,-109.054557,36.984056,455.1,328.6,695.4,-112.469726,36.97653,-112.24814,33.37728,0,552,24,i~t`FxvmmTpyEdxIrdQw{s@vaR~|AdjF{tImxEkqQxpKeft@waWosa@`X}hJhsg@dyG|dmAynr@diy@lpAdgo@vpTnbs@zqK`}SyiFlnI`wGvl}@}evGba_AiwMhwYjkAd`b@eaNvwW`rP|o_AdzlA|d^vnLxcQ`vUpn[nvImhBt~MjoXjuu@p_Elul@dlm@p~H~wArffAkyh@n~^gEr_]qt]npa@,_wtgEroojTGoiJ}hS{@v|Cm_G{jKkep@hKymo@i`m@urHgiEyyl@gpXmuu@nqBesMww[mbJycQavU}d^wnL}o_AezlAwwWarPe`b@daNejYcmAmmaAhqM}dKyeM_bEs|f@a`c@kxuA{xXiQygU~qP{ht@twBq|GdpOsse@avEex^twG_lG_uIyay@h|CclIwlYylr@~yc@ygZglFscIat[xlGcakAwjK{iE
AZ-03,24,72,0,0,2544,61,-112.053685,33.336978,-112.302077,33.50446,30.9,21.1,41.1,-111.974377,33.368683,-112.302077,33.50446,28.1,21.1,61,-112.053685,33.336978,-112.302077,33.50446,0,552,24,ccnjEpn|jT_RcT{Q|B`HfFqHrMvKc@gFf[fHlX`YtZtFrX|UiGpCzS`QnBcSfJqCnLfAfPaGxSjF~k@mFjd@cc@ySaDmXiKyMu_@gJyq@kuA{SzGayBLB~t@ycIbB~Cn{BwLr[}]bF_sCuAaKhFyGlzCzEnpAuEblD|@ntJk@jW}M]xAlzDw^hAwx@yZgtAQwcA`\iYnAj@byD~RQnDnKkC~H,gitjEz~ljT_R{A{KxZuuBAXljBcuBq@kA`zAgL`V{~@f}@{ZbrAm{Dd@oPlK}DlvD|Gt_ByJvxH|EhnAuEblD~@`qJm@xZ}M]xAlzDw^hAwx@yZgtAQwcA`\iYnAj@byD~RQnDnKkC~H
AZ-04,24,72,0,0,184,57.1,-112.128199,33.294909,-111.691814,33.493964,40.9,28.7,57.1,-112.128199,33.294909,-111.691814,33.493964,40.9,28.7,57.1,-112.128199,33.294909,-111.691814,33.493964,0,552,24,e|ejEf`kkTcJi_@lEon@ej@yeA{As_@fBeWhfAhIkAywSk`@mqBj`@iiEYakGwQsO}cO}Din@iWiFg}f@ciSeDl@pSuX`\,e|ejEf`kkTcJi_@lEon@ej@yeA{As_@fBeWhfAhIkAywSk`@mqBj`@iiEYakGwQsO}cO}Din@iWiFg}f@ciSeDl@pSuX`\
AZ-05,24,72,1,0,3622,96,-111.508776,33.288948,-111.644069,33.122547,30.5,28.3,54.4,-111.490235,33.46107,-111.887401,33.219981,36.7,28.3,96,-111.508776,33.288948,-111.644069,33.122547,0,552,24,}vdjEz`rgTivEbjAevD~nBwPoPcZdEmm@tsAegAjb@Hdm@z_^IL`jCtVqQb}CsEiHbdBll@|h@|H`lAxkBIrb@tXpyAwz@dk@fbAlOb`Av}@rc@wG|m@z]wJ,ujfkE~lngTjOzSxYmGfz@xoBz_Dj_FfcEC|GlxRjo@dHdhAk[dxCwAnd@nMhYj`@hTdrAzIbbLvk@hk@niCvOjuAztC`EdnJc[vuAyB|_Cf`Em@n{@lg@uBfa@pXjh@brAiEbZrn@`i@xFcCnL
AZ-06,24,72,20,0,4063,617.2,-109.105357,31.332585,-109.284008,33.775412,286.5,190.9,478.7,-109.105357,31.332585,-111.788938,32.903342,293,190.9,617.2,-109.105357,31.332585,-109.284008,33.775412,0,552,24,usf~Dns|xSqEnfWenCp{AuzPchTw}AffB{nI}zBcoDvjU{cD|sAueOi|R_q]ghTutJEqmGlpNyzQtuJe_o@ujAuwPlvqAyqGdqKcebAxbIkaLkt@`Ac`DobBFv_@miPhbCgjG}}IquZeUeeT}|QsvLc}NdpLoqCcUkjChmO}kQybBihJtxDodH{gFqxQ{zDyoCtRavEheHccFwjBwiB``B_a@wbEy|FmqFidGlkDyiAnhE_lJgnFaoAyuIg_ImxKkpCfj@oiHn|L,usf~Dns|xSqEnfWenCp{AuzPchTw}AffB{nI}zBcoDvjU{cD|sAueOi|R_q]ghTutJEqmGlpNyzQtuJe_o@ujAkaKdr|@msGviX`[dlLfpAzuJxeXdbYlaLrqTntXbuVl~D`~M`dCzpK{pAn{H~`Bv~YcpFzrl@u{J|jQ{fXsAYz`FskJvmG_BvfJe{DdcAogEtcVmnb@blj@}l[jnVc|a@jly@kaAbrJ{rKljBox@vdE
AZ-07,24,72,11,0,4470,1130.7,-109.486858,31.349768,-114.532531,32.750333,467.6,322.2,1083.6,-109.486858,31.349768,-114.791115,32.57682,469.8,322.2,1130.7,-109.486858,31.349768,-114.532531,32.750333,46,552,23,a_j~Dzcg{SciBxpl@gaN|wTd~Aj|JxyIbgOmi@bdl@hsDf@vd@zqHs|Evn[hmDteC``Bz_UutB`mIdbCpfEomJpcSz}D~qH_~CndRdvFhvIu`Rd}F_lShzNafa@vq@xs@bkSvyHpkKfgA|{HbwFz_Gx{Frn@eqItqQkiBvlNsqSmqBsoL_nGwdCujF{nUagAwdVunMpmLlheA|cNpnT~mAn|P}sGl{M{tf@tp_@sfJrapBssRfsMelElvI~qD`nEfpHeEduNlgH`oD`yG`yK`~f@_vD`{JnvEr`LtZnz`@unPpwo@meG|jGd`@d{Ie~Urxz@so_@vvk@ibGigBwtNfvLtaB~aq@}jJveB[ujBk{Iv@{O_mRekCuqB,a_j~Dzcg{SciBxpl@gaN|wTd~Aj|JxyIbgOmi@bdl@hsDf@vd@zqHs|Evn[hmDteC``Bz_UutB`mIdbCpfEomJpcSz}D~qH_~CndRtvFdtIeaRh_G_lShzNafa@vq@xs@bkSvyHpkKfgA|{HbwFz_Gx{Frn@eqItqQkiBvlNsqSmqBsoL_nGwdCujF{nUagAwdVunMpmLlheA|cNpnT~mAn|P}sGl{M{tf@tp_@sfJrapBssRfsMelElvI~qD`nEfpHeEduNlgH`oD`yG`yK`~f@_vD`{JnvEr`L~b@bi_@_wP|hq@meG|jGd`@d{Ie~Urxz@so_@vvk@ibGigBwtNfvL`A`xWn{KhyFxuKll@bGx~h@scOtm@
AZ-08,24,72,7,0,4391,120.6,-112.420917,33.786591,-112.083054,34.009378,40.4,33.3,101.5,-112.280759,33.555651,-112.083054,34.009378,45.3,33.3,120.6,-112.420917,33.786591,-112.083054,34.009378,0,552,24,e}emEvedmTg~FEfSuzBiC{lCyu@{aCuLihA|J{lF~c@g}BrAk~ChtC_eCda@_jALqsQgeEreAqkBwEcaGpX_hIsk@{lBac@yz@gn@n@lJul@rKsoAfmBmj@_@yx@_V|r@m`ClMydCmb@gmAqYy_@ya@eI,yyxkEvyhlTxZdAs@abBuu@en@smEdPkhCw`CshBI_pEgiAsYcnUulC`AoyYzbEskInQ_hJyj@wjDyrAuxC~eCigAaUlbAy_Gqc@ivAk|@_j@
AZ-09,24,72,29,0,3390,647.2,-113.348321,34.952859,-113.131775,33.110281,350.2,235,384.3,-114.629264,32.589366,-113.900774,35.936735,286.6,319.1,647.2,-113.348321,34.952859,-113.131775,33.110281,130,552,21,kvitE~iyrThCjlFb~Iwc@n}A|nJeH|vF{|EviEp`DnoZrnc@u{FzqDjpVlsOdsJe_h@bkn@f\bxWfqJ`kP`l@l}KrsGgqA`eQ~{K|rUgcCbrCuzC_WauHztDumKluWaxUtw@jbFrsERbZh`E|jKnpHf|F~nN~eVkaEjdF}_GbbeCAxgg@xxN`~Yma@doRnuKtwObfDhyC|cFnjOvqCbiAmyRyyAyaFvsCq{SsiOct~AufLs}_@wcXx@kmb@c~nA,qb|eEzoszT}rNrVm_Eaid@cmNilJoac@}xPa~Yla@a|f@}vNgneCmA_k]|bMos\uee@qrW|wUudHbwYczU`lCeiQo|KklGxpA{gN{o_@kfz@ixEwtScsN_pQ`oFw{[koGgnOr{Keul@nhFk{OynImbCmmVgbIkoJ
CA-01,24,72,9,0,4939,682.6,-120.027117,39.576502,-123.749445,39.904364,337.3,229.6,593.8,-122.839118,38.384921,-120.50485,41.182064,390,229.6,682.6,-120.027117,39.576502,-123.749445,39.904364,0,552,24,cxppFnxq{UmiQa`DwaLryH}iFeuAyuEre]_}Al_l@duIbd`@eoBjzFewN`nLyxAvfN}oIn}NiG~ePwsA`_A}qCimCywKz_EnbCnlKj]vjJs|ArhFxvCzfZzaB~nBz}Ca`A|iKxoOzt`@voY`vBrzEjnIbt@dhBdb[mxA~rb@|oExrTadArcEzfTnk@q}@tq~@kmHzmHobExxZwcIc\dk@d_L`iBddAmaGrrSb{Fj_GzFxwHwjJ~F}wA`pCekAuwAkxC|xOghMhcPf_Bl|GymDtr[hiB~_MrdSlaBtM`gOoeIfsKboE|`NbkC`Cc~IrnIsuFhBwnDvaF{xD{jAqqHzsEjNrsH{gHp~ChInpPp}@npAruFg|D,w`hiFn_wlV_iGctL_jOrCyyRt`TupN`b@ojP`lWcqkAn|f@caL_e@_lEsyTswS`s@s`Qe_l@s|Seh@tv@yvKkrTgyPj`GewSguCkdNacXcg@c~BsvWswU}hUtDkqNmmp@j|Co`Ycg]yjIoqfBjaTgb[oBu{Vw~H}yG}e@oyu@q}Si|r@fuGqiP~J}uu@ism@i}Km_a@bxTk~Yv{\o{[s}FykSb}E
CA-02,24,72,29,0,4435,976.2,-122.473135,37.837336,-120.027631,41.83676,659.8,305.2,976.2,-122.473135,37.837336,-120.027631,41.83676,659.8,305.2,976.2,-122.473135,37.837336,-120.027631,41.83676,0,552,24,kb}eFbpojVynGpmGmzt@ndI_gDlzKgsGyKe|Dv}[geInrLaw@hub@wnXz_OsiW~ri@wfbA~wgAw{XqjCci~@t{Xc{^ixJ}an@x}MgmQ}yVulSxzPufX}d@zn@ctTivMypMsqHo{`@ocN}Jsr^pdRlqPwb`@keB_|X}{EchMoyWrkEmvJijp@wvEzw@w~CgeL~tFudZulFioPbwN_~_@dTgnPcse@ukO_ua@r{Xkqv@cxb@ciWjsUe`LpsAusXw|c@{fLgu@wbI{x[g}KhxCasn@wba@bIkugAjf]g_h@`|VqbB|ic@ce[tdFqqa@~wJqgQswIwic@mHgq\qjLq{Y~oE}fl@ypU`|@yq@j{Fqfc@_|HezCs_QlfDm`I,kb}eFbpojVynGpmGmzt@ndI_gDlzKgsGyKe|Dv}[geInrLaw@hub@wnXz_OsiW~ri@wfbA~wgAw{XqjCci~@t{Xc{^ixJ}an@x}MgmQ}yVulSxzPufX}d@zn@ctTivMypMsqHo{`@ocN}Jsr^pdRlqPwb`@keB_|X}{EchMoyWrkEmvJijp@wvEzw@w~CgeL~tFudZulFioPbwN_~_@dTgnPcse@ukO_ua@r{Xkqv@cxb@ciWjsUe`LpsAusXw|c@{fLgu@wbI{x[g}KhxCasn@wba@bIkugAjf]g_h@`|VqbB|ic@ce[tdFqqa@~wJqgQswIwic@mHgq\qjLq{Y~oE}fl@ypU`|@yq@j{Fqfc@_|HezCs_QlfDm`I
