district_id,n_points,n_sampled,far_snap_dropped,isolated_dropped,max_snap_m,max_drive_min,from_lon,from_lat,to_lon,to_lat,max_route_mi,span_mi,span_drive_min,span_from_lon,span_from_lat,span_to_lon,span_to_lat,span_route_mi,geo_diameter_mi,max_drive_min_ferry,ferry_from_lon,ferry_from_lat,ferry_to_lon,ferry_to_lat,unreachable_pairs,total_pairs,largest_component,max_route_poly,span_route_poly
AK-01,24,64,64,9,20544263,1694.5,-141.220934,64.79343,-150.273971,70.417079,921.2,454.8,1694.5,-141.220934,64.79343,-150.273971,70.417079,921.2,1840.2,6319.5,-131.335723,55.46264,-166.597407,53.82786,522,552,4,}}mjKxe}|Yhc]b|[x`\epa@beQbvk@jyp@gvOxcXrcxCjahCbi}Aq_NhqbFasv@bj~@qiDdbiBgy`AzcuEulj@rteAakNx~tCm`fArvu@{nVpwmBgdo@wzFu`p@jz|BmoZajL}fUj`~CknT`tDm|aAfpiEo|a@hqSmddA|kqBe|p@}yZwnd@aokAcs[fdNotv@}nu@s|h@{lgAswt@vuUwnf@_ujAevm@ibWu~q@rjn@stIc|{AkbWo|r@{ggAx|Bmpx@cuu@mxqAxun@sny@unkAylXfylAhhD~kiCefR|~{@qiBlbvA,}}mjKxe}|Yhc]b|[x`\epa@beQbvk@jyp@gvOxcXrcxCjahCbi}Aq_NhqbFasv@bj~@qiDdbiBgy`AzcuEulj@rteAakNx~tCm`fArvu@{nVpwmBgdo@wzFu`p@jz|BmoZajL}fUj`~CknT`tDm|aAfpiEo|a@hqSmddA|kqBe|p@}yZwnd@aokAcs[fdNotv@}nu@s|h@{lgAswt@vuUwnf@_ujAevm@ibWu~q@rjn@stIc|{AkbWo|r@{ggAx|Bmpx@cuu@mxqAxun@sny@unkAylXfylAhhD~kiCefR|~{@qiBlbvA
AL-01,24,72,10,0,3931,289.2,-88.429299,31.069728,-86.199663,31.116667,204,134.4,229.6,-88.402713,30.662336,-86.252209,31.28085,173.3,134.4,289.2,-88.429299,31.069728,-86.199663,31.116667,0,552,24,yhs|DbjvzOffBidFgH_k@e_EbcAtl@{bUunA{xGbuMeg@~dGno@huGyeFzmO_lAvjGcuFAkdHcxJ}~Ea}F_rKi`Ho~[qmDasYkcJ{sOkuYcav@qbEqzFtrJexEtrKiBb~EetA`lC_aA|ZamDudPqq\lcCkaEpCojFkaCyoKauGo{CtNghHg_CqkKxc@uuHryA_yCkGseOyfDogKwdGeyGokKihEF{fE`sFw_B~uEa{@`qK~dAxdDs}@ntR}_Q~nBa~Ko{@_pGshHapF{sJ]i\iz@,svczD|cqzO~Dc{@x_CfK~o@egIudF}jJekB{pLjcAqzDjDmmJm~Iij@eiDofDuyHdbA}wImhF_rFwdKstCswKgyH}yi@kcJ{sOkuYcav@qbEqzF~oJiwEx{KiDvdJauC|ZorEunHmdL_uFufNlcCkaEpCojFkaCyoKauGo{CtNghHg_CqkKxc@uuHryA_yCcHqgOugDchKg_I_nIgzQkcFrKitLtrGcsKdm@esJktAcbH
AL-02,24,72,1,0,1970,247.9,-86.533965,31.53647,-84.942295,32.236776,141.3,132.9,228.3,-85.053028,31.102626,-86.764432,32.359783,160.2,132.9,247.9,-86.533965,31.53647,-84.942295,32.236776,0,552,24,}mn_EhddoOemHuqAw~Cz}AmmBco@``@_iPqtDsn@gbCefGebJkmIsImfI~|A{dAseAgcMqxMkzGez@o|Brw@go^{aDs`CkzB}rHjwEw{Je`AonK|kG}`D~_@_`Hiy@kqFliAuhIsu@ewBbSilF_eDuy@ig@acCaeJu`Kb_AmwKwuEgdStgFkrXmyCs{BadFtFquFukDavDi`@ceAeyBclCux@_jFjWmhJwgAcpMwcF}}CmnEcbFe\ryAkiCmd@s[jm@wuE,mvy|Dl|bfOyaD~kCmb@|bKukEdcKanFhf\uoGntDmBtaH{ePxjVcwNrqKodEr|HulJf|FsnSp`R_wUtgFgxJ~bZohBj{AwlZpxE}dQx_A_gEtlDklGne@amHvjHgqKhTmbL|pMkeEfgHSfkQn|ApQ~hAtnSz}Dl{Ljo@~f_@kl@f|GsrDopAadHha@gqBjiCzUnyC
AL-03,24,72,0,0,1481,282,-85.884621,32.582243,-85.678363,34.350919,162.4,139,270.6,-85.29751,32.473367,-85.508348,34.476911,173.4,139,282,-85.884621,32.582243,-85.678363,34.350919,0,552,24,_vzeEziekOynAenLmhC{mBwhc@um@{lDifDohGxeA_cH{`E}rErkBclDs{Cg}R|jHc|J{jFa~\dcA}vPqrKsjNbq@_~IgkKapQvsO`f@fkKaaPpjCgpC`eL_jVvvF{mQyLyaNdpOome@mkt@_rOiiAosBukFy`FbT,qmeeEltrgOccAgvCipGmi@urJprLmaIjDafD`yDwqHf_AaiKbqQuyTmzLipRNsiK{wLoxPlxCy`Tx~Q{cUbcGuwo@xwk@waEmxKwj\rdEyoTguNaa^jL}iJrgIugFhTs`Q{}LqjAutEy{Gz_B_pIaxJezTys@
AL-04,24,72,0,1,2201,374.4,-85.585757,34.845382,-88.110406,35.003314,232,171.3,342.7,-87.835789,33.211619,-85.585757,34.845382,218.9,171.3,374.4,-85.585757,34.845382,-88.110406,35.003314,0,552,24,svtsE~}jiOsg@jXf`@`u@tvBnAhv@gnBnxOdtDrpE~xIppFtsEr{EtuI|}[ziS`w_@x_l@lE`qFt|DlsMv{Rf}UjkCfiHpoEfiDc`Gf}MhEn|CiqAr|EzKlm]{nAbqRv{AfuQ_qCreFyJhnOkbB`yGnmFpaK{{DvzMv{DbcI|sEjvSq_@hxFmpB|{DucJjbDksG~sHic@txEeaFx|GglIveD}nJxyNcgMfzHmiA}tAqnEyUucBuyBcvNs`HepHhuBcpU`f@rs@hkDemHl~EqbQ|nStxHtzIypF`kYfOriFo~FjpD}fHoh@cCtxB,ssuiEtlbwOv{BezA}pKgpDkrAy{JdtEstO{UatL{ePoCk~QqoMm}O}d@maIi~NewJ}wHmoEb|DajGzFibVgrK~xCsvPiaH{y@i~BeaJ{|FiaCcpA_gMurXydf@ytW}]}rAeyOv`Aq|p@~mIkyYgz]}rd@ccEoeUaw_@y_l@}}[{iSy~Skd[c`U{vC
AL-05,24,72,0,0,1667,218.5,-87.518522,34.369595,-85.599454,34.916781,143.3,115.5,218.5,-87.518522,34.369595,-85.599454,34.916781,143.3,115.5,218.5,-87.518522,34.369595,-85.599454,34.916781,0,552,24,_ywpEvmduOw~F{dEakIka@mf@unH}xAfE}_Aebb@gzJc_ZinGuaMi^}lKozCsjD}M}bOcmQaor@ymHwaKxXkpHtwFunM|fDuoDvgCq|JzlIuzBdaC_eH}fBwzLhl@yxMuv@mrG{gDcpH}nI}mHscGylKclRywOfqCeaHukBubEtmBkvGxeCm{C}PijAioBar@mlJw_Lg}Ehf@,_ywpEvmduOw~F{dEakIka@mf@unH}xAfE}_Aebb@gzJc_ZinGuaMi^}lKozCsjD}M}bOcmQaor@ymHwaKxXkpHtwFunM|fDuoDvgCq|JzlIuzBdaC_eH}fBwzLhl@yxMuv@mrG{gDcpH}nI}mHscGylKclRywOfqCeaHukBubEtmBkvGxeCm{C}PijAioBar@mlJw_Lg}Ehf@
AL-06,24,72,0,0,1599,281.5,-86.931599,33.655349,-85.898803,32.597056,167.3,102.9,252.5,-85.898803,32.597056,-86.900261,33.828024,158,102.9,281.5,-86.931599,33.655349,-85.898803,32.597056,0,552,24,}hllEnyqqOu{CxwF{tCvu@jc@`y@ueDflBczDqkE{g@cqF`pBqrAhFygEtsCkUjdBkmBv|BjUhrA}`Co_@yiEzoEigAz_AibDsxDwhKxeCe`Bg]u{@xyBqmEt~AbR~}@g|AbdDy}@`xEzm@bzEnnIx}GfiB`hKbkLvaKc_@zkGl`CjxJnl@j}LioFvgCc{ClcR{yBvfb@qcWrqIwyBnzEsvIyaButMopBw`CgoBg}KmwK}mSox@s~R|pDgpKbbKdtCz~GqeBhrEnkAjdCuzBbqC|QhgC{cHv|@`LpbA{`B{I{~BhjBeiDuCokJh{Ck{BqCoaA,sr}eEnbhkOpCnaAi{Cj{BtCnkJijBdiDzIz~BqbAz`Bw|@aLigCzcHcqC}QkdCtzBirEokA{~GpeBcbKetC}pDfpKnx@r~RlwK|mSfoBf}KnpBv`CxaBttM}wEbiIwyI|hC_l_@trUgzTbhDkfCjzCs_MpoFioJmm@wrG{_Ck|JzUipKgdLozG}fBmqE}gIcuFup@{nEdyCu~AcRyyBpmEf]t{@yeCd`BrxDvhKy_A~`DicKtuDq`DwjAqaOmAi_AlrFs{Afg@aSbeCdfAvy@
AL-07,24,72,0,0,1055,357.6,-87.368186,33.446612,-88.428085,31.119032,224.6,200.9,349.5,-86.721952,33.644988,-88.428085,31.119032,246.6,200.9,357.6,-87.368186,33.446612,-88.428085,31.119032,0,552,24,ipckEdbgtOgsB{eIppE}|DhcGts@vfFlsFtbIynGtvFdhCz_Lc}AbpC`eWxD|eYdlL}ElqSlwLxuNdaBhzDc_Ej|T_pCjqMt{@tuQ``OttHkPd|ItdF|`RqTz`HzzJlmOtcDr|OwrBfhXldA|zTs|H|eq@htGteMjaOtxLn_CzwGncTnmEtzFb|B_Ki~AjpNxmBljGagCv{RjrQgh@`mWzlKd}C{\\xlEdsJlvCtmFdmK,ehjlEd{hpOzmL|uJ|mDgEvlDz}EhaDhiRxtX~fPnnTjzV`iKjpZdvB|cw@dlL}ElqSlwLxuNdaBhzDc_Ej|T_pCjqMt{@tuQ``OttHkPd|ItdF|`RqTz`HzzJrpOfdDlyOisBfhXldA|zTs|Hleq@btGdfMpaOtxLn_CzwGncTnmEtzFb|B_Ki~AjpNxmBljGagCv{RjrQgh@`mWzlKd}C{\\xlEdsJlvCtmFdmK
AR-01,24,72,4,0,3499,588.1,-91.425465,33.006092,-92.932875,35.798442,372.9,259.4,585.6,-91.425465,33.006092,-93.134023,36.487892,422.7,259.4,588.1,-91.425465,33.006092,-92.932875,35.798442,0,552,24,aomhEdp_mPdC}cUiyUidJsp]qSmkdApw[uhU{|Vup[eeCgnFnzY{kfAigGyc@phc@kecB~_EwnPuagAwlbA}y_@sjBlf`@{~}@t}FknF|xo@{pTt`]`a@p~d@q`SnfN_lEb{P|rB`hLcuFlnz@dkKxmb@q`OxaLe|Bvin@b~P|_O`vFgbC,aomhEdp_mPdC}cUiyUidJsp]qSmkdApw[uhU{|Vup[eeCgnFnzY{kfAigGyc@phc@kecB~_EwnPuagAwlbA}y_@sjBlf`@}dy@h~DamMh}J{cCpzXaqQtgPwtEviTk}NkdMmjSlYoaQx_Kcn_@o~AanJla\eoJxyD{}Gbs[juC`ekAzvJt|IpmPf}|@__OjcTe}HmfBsdXzddA
AR-02,24,72,0,0,1076,247.3,-91.412076,35.202576,-93.012152,34.780809,149.2,111.7,222.3,-93.284245,34.831704,-91.426088,35.38257,144.2,111.7,247.3,-91.412076,35.202576,-93.012152,34.780809,0,552,24,cozuEn||lPw[dnB|o@z{@kuCriCyq@rcCe{JyCsxAp{LiuAbr@v@byDteDtfJdnZpqZxdOdnW|BpzGigDxXsIrmOm}@raAcH|uCnwAttLzxEr{DgNlmNsmCnmLcj@l~]zuAvoBfSrdKtcExmBhVttDnuAjnAz@j~Iwx@vnDngGfkYhpEj`f@nSd{SndBuqD~yAb~AheAmoDd_Bv|@dx@w|Ar_AnyArqBekDzpBdcA`wIb\`hA_`Bg`C}jG`wAs|@{j@mjDnv@k],carsEpqjxPwn@ro@}yBgyKix@d`C}l@qp@_n@qlLzj@emEorA_hDgz@r{Aq_Bm|@_dBtzDa|@_iBkcB~pDoSe{SipEk`f@ogGgkYvx@wnD{@k~IouAknAiVutDucEymBgSsdKwuAqnB~i@s_^znCcmLjNqlNgzE{|DowAutLbH}uCl}@saArIsmOhgDyXfAiiHwiOm`WiuZy{Zq{CsmIcE_hHy_RsoRf|AeRlNwmBloB~C
