state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
CA-34,CA,34,746404,77140,839307,83763,31760,128923,479000,108502,35362
CA-35,CA,35,775409,102274,652927,133342,45009,106725,463469,94523,33133
CA-36,CA,36,737041,149733,1615866,390306,29614,134958,122951,208125,94265
CA-37,CA,37,739769,77981,944412,93231,156608,47979,407694,90612,38931
CA-38,CA,38,742073,101022,765107,95132,8735,185211,432894,97127,35452
CA-39,CA,39,752070,93032,528864,140977,61262,45136,476821,59863,24892
CA-40,CA,40,783923,125271,756246,351227,33247,83914,263973,127493,52613
CA-41,CA,41,739760,106482,790410,157072,25917,77800,452004,99365,38696
CA-42,CA,42,761475,120229,1139878,340254,39212,89904,244311,163460,62412
CA-43,CA,43,733415,82823,719956,51262,159490,65606,429362,76200,26780
CA-44,CA,44,741956,82611,642809,58487,64021,69081,528296,66151,20940
CA-45,CA,45,738272,107511,845818,146074,16774,285990,259200,122459,39491
CA-46,CA,46,756695,96104,743715,131320,12204,107585,482655,85199,25798
CA-47,CA,47,746451,140725,1234588,335638,12820,206909,139365,185294,90247
CA-48,CA,48,771419,98899,632430,316714,31176,57311,317076,107587,44712
CA-49,CA,49,752626,142912,1279638,413654,16537,99403,169141,163500,78626
CA-50,CA,50,753324,132781,1148345,408598,19789,120247,149579,176079,84821
CA-51,CA,51,767825,107811,823800,386402,48012,62708,215582,138880,59112
CA-52,CA,52,760706,94182,677335,123566,52029,95188,455071,89494,30755
CO-01,CO,01,724643,113116,696316,391726,62343,25916,202506,183879,82651
CO-02,CO,02,720373,105745,737100,546515,5827,24200,103165,165266,88575
CO-03,CO,03,732911,70984,384345,489988,6239,5771,191516,111901,45957
CO-04,CO,04,752311,88807,393859,559359,13480,27392,112178,161065,69182
CO-05,CO,05,734453,97484,479434,479859,40511,20759,138461,122519,63634
CO-06,CO,06,730260,113838,607341,401358,72678,41129,169834,141579,64545
CO-07,CO,07,723818,105715,580812,544943,9179,21766,112162,167127,74627
CO-08,CO,08,743421,101058,489981,384164,13884,21650,291117,97870,38710
CT-01,CT,01,720457,88840,241929,422607,104409,39484,128327,107694,63338
CT-02,CT,02,721859,91128,274935,573706,25970,25425,67181,105986,63548
CT-03,CT,03,723755,87910,279041,450439,98847,30650,120401,102181,63195
CT-04,CT,04,720944,139143,673865,420626,81943,41266,152693,138951,84895
CT-05,CT,05,718315,93867,300589,473469,47987,29047,141463,106755,59243
DE-01,DE,01,1021191,84954,352000,593492,218269,43639,112835,147773,81108
FL-01,FL,01,792763,78107,307555,550035,99342,20644,65521,110848,49185
FL-02,FL,02,792550,64912,236028,497696,175602,15887,61189,102532,47611
FL-03,FL,03,801669,61373,218304,516323,122166,23847,100863,89328,45369
FL-04,FL,04,797818,69626,269262,413881,239833,21314,78493,100041,37074
FL-05,FL,05,817090,97408,445082,521444,93990,47844,103725,171016,66325
FL-06,FL,06,817732,62877,245931,574333,87889,12909,107416,101278,40826
FL-07,FL,07,786475,82629,345772,475475,72380,31366,172810,138624,52933
FL-08,FL,08,795912,82697,339549,518378,75622,24542,131317,125822,61494
FL-09,FL,09,818452,67939,290948,359022,68758,22627,334096,114456,46488
FL-10,FL,10,788404,77863,387303,246180,211984,33342,254055,120638,46917
FL-11,FL,11,821577,86576,380740,461490,83177,36105,190729,147930,60879
FL-12,FL,12,806427,73903,333842,442824,69890,30329,227841,125277,50709
FL-13,FL,13,776384,76281,353646,565475,48349,30181,96719,132739,52707
FL-14,FL,14,814439,93860,413647,409404,104087,27486,231006,133817,60420
FL-15,FL,15,820203,63989,262408,485016,105716,34201,153973,103356,45101
FL-16,FL,16,808279,77695,370400,538839,86981,17537,130467,136051,58896
FL-17,FL,17,814791,75335,371530,591744,58867,14096,117094,127665,62482
FL-18,FL,18,842212,65356,252128,407255,122642,15501,260727,96743,34695
FL-19,FL,19,819419,84625,449223,542898,38869,14260,197015,138324,62490
FL-20,FL,20,780979,71887,365074,188454,329787,21875,197717,101909,43218
FL-21,FL,21,804041,86031,449326,490547,108878,17995,151874,138716,54738
FL-22,FL,22,810491,94440,461916,352004,110453,32398,272147,136397,64296
FL-23,FL,23,788368,79740,452375,312105,195364,18328,230888,120179,50746
FL-24,FL,24,799896,63797,410071,82515,341607,10134,341728,86325,32949
FL-25,FL,25,770976,91469,628058,415438,55023,19125,232800,167570,75747
FL-26,FL,26,782389,91006,485647,98288,66678,21653,576091,127579,48701
FL-27,FL,27,770526,106193,740147,125660,37217,15686,568429,144340,64336
FL-28,FL,28,775817,88092,552337,119370,68524,11031,559429,110402,36979
GA-01,GA,01,787276,64892,236207,444609,220247,15592,65109,93583,42808
GA-02,GA,02,752644,52072,138329,295501,370863,10376,45512,62964,32764
GA-03,GA,03,790245,76922,256579,497043,186469,15727,54424,99423,44781
GA-04,GA,04,764543,82614,352873,154125,363719,70649,142384,122414,57234
GA-05,GA,05,768644,84005,401859,234602,369571,43524,82702,144281,76803
GA-06,GA,06,778687,99437,402376,222184,396283,26315,98454,152236,72485
GA-07,GA,07,789108,124880,498774,489180,63681,109198,84726,188171,95373
GA-08,GA,08,773536,57725,148982,439312,232125,12056,61556,67403,35721
GA-09,GA,09,804649,75307,308660,480081,97578,54784,139598,110418,45800
GA-10,GA,10,795107,72037,270613,472967,198004,20449,66799,90567,43554
GA-11,GA,11,782605,92323,353096,520151,90350,31724,98501,145927,58280
GA-12,GA,12,774899,56711,151662,398015,280874,13986,47059,75053,34882
GA-13,GA,13,794503,82928,301492,186732,396860,53802,118116,104158,47991
GA-14,GA,14,783962,71817,230059,539449,95646,13242,99676,93345,39810
HI-01,HI,01,718154,115465,946705,106433,13651,352788,59038,132158,51497
HI-02,HI,02,727081,89019,735867,195926,11856,173164,84553,102942,40485
IA-01,IA,01,800735,77714,200524,667302,32690,18469,47746,112613,43602
IA-02,IA,02,795370,78589,195539,685193,31372,12805,32569,106053,38072
IA-03,IA,03,816359,78608,196213,638265,42272,31526,70675,136057,47167
IA-04,IA,04,798043,75909,171065,651886,15371,16374,82716,95395,30823
ID-01,ID,01,986195,75711,426422,783647,6211,11264,122771,136814,45635
ID-02,ID,02,948067,74660,357591,735777,7677,14650,141164,135124,48952
IL-01,IL,01,739637,82866,266873,269893,349076,15704,78346,95294,52972
IL-02,IL,02,740525,68321,151096,252194,341811,8193,113362,72691,40250
IL-03,IL,03,737662,96127,386168,295469,39446,51170,329517,123607,52067
IL-04,IL,04,726512,85216,322654,170838,35787,30994,478068,73687,33262
IL-05,IL,05,750862,127842,508804,522600,20932,79390,95538,208611,109000
IL-06,IL,06,742338,108178,365533,509238,39670,45201,120895,138314,67669
IL-07,IL,07,751340,80148,335834,219538,299354,66932,137248,136704,76859
IL-08,IL,08,740647,106626,334894,388530,33404,100273,189562,134595,56988
IL-09,IL,09,750544,115143,436722,441341,62578,108337,102655,168709,93805
IL-10,IL,10,756202,124223,417151,430560,46047,61266,186978,134746,73179
IL-11,IL,11,758001,117192,359768,473620,44791,65979,146455,143446,71764
IL-12,IL,12,747002,69357,141298,651074,36480,7268,23384,79448,37220
IL-13,IL,13,746803,67998,148996,496695,140374,30748,37349,89512,49823
IL-14,IL,14,760512,96156,259647,440242,67567,41064,181575,106325,52059
IL-15,IL,15,748644,73696,141878,670375,22402,6709,22743,89797,35580
IL-16,IL,16,756270,84195,187815,630161,21786,18822,56503,105872,43912
IL-17,IL,17,741298,63817,131982,508297,91665,15953,86870,79722,32680
IN-01,IN,01,758276,72828,218727,455230,132521,10921,131914,92035,36170
IN-02,IN,02,750934,69425,183220,569209,46108,11487,89916,78154,33424
IN-03,IN,03,763234,71699,192462,613307,42742,22293,53536,86289,32276
IN-04,IN,04,772726,79162,219174,625260,35522,25855,58327,100150,42536
IN-05,IN,05,773338,79081,211421,626930,39410,29540,38901,131855,56907
IN-06,IN,06,763197,77116,206227,609005,38349,40883,43357,94685,40814
IN-07,IN,07,752235,70451,234783,338938,240993,14822,115071,112889,46299
IN-08,IN,08,755309,67325,162786,662910,27044,7415,25046,78550,32051
IN-09,IN,09,761825,73423,214394,663394,19396,15364,34280,85439,42140
KS-01,KS,01,724249,68233,144467,540918,18824,12818,117594,87668,36524
KS-02,KS,02,739374,67686,153673,521303,54401,13868,99904,85745,40324
KS-03,KS,03,744623,100690,328683,562152,35160,34409,77769,160953,75733
KS-04,KS,04,738951,70773,158068,518962,43412,24337,104751,97105,41715
KY-01,KY,01,752739,58563,158781,635398,49736,5075,30926,64001,32684
KY-02,KY,02,765878,65118,190088,642353,38939,15998,35349,74233,36870
KY-03,KY,03,748371,70811,251710,458354,158737,22281,65363,109257,54803
KY-04,KY,04,762724,75689,225262,663081,23699,8750,34053,102635,48153
KY-05,KY,05,742825,45349,114065,696218,10427,2880,11791,44160,28547
KY-06,KY,06,762287,72451,253562,602684,61032,17388,49261,107802,52473
LA-01,LA,01,761194,78326,280826,516524,94961,16635,86267,117359,45321
LA-02,LA,02,754732,54646,257664,203158,418318,19767,78350,83063,40612
LA-03,LA,03,768693,59224,175391,471994,204797,11528,42575,83345,26548
LA-04,LA,04,764386,54489,146187,448780,232498,7475,37995,71087,30221
LA-05,LA,05,769300,49672,142432,443908,259536,5800,29845,67265,28368
LA-06,LA,06,793656,76571,243477,486175,197733,17705,57684,105234,44947
MA-01,MA,01,777146,85307,331002,539015,42033,17626,149929,102718,56298
MA-02,MA,02,787927,106751,435823,553830,37856,56510,92411,134185,85453
MA-03,MA,03,785132,115494,523995,466212,31952,64735,179614,124340,70595
MA-04,MA,04,786652,136833,712428,599478,26912,53724,52238,138231,87647
MA-05,MA,05,779668,149480,898168,488121,37634,106416,87099,160171,116433
MA-06,MA,06,784710,133638,687201,591721,24698,37831,92952,160580,90759
MA-07,MA,07,770833,100513,745575,297781,151892,85534,174788,137381,81516
MA-08,MA,08,784002,129417,684734,507564,77684,77153,57215,169263,94110
MA-09,MA,09,787987,106127,662030,647668,19589,11340,50606,144815,76385
MD-01,MD,01,781859,88293,341197,558777,116107,18118,47340,112373,60396
MD-02,MD,02,766797,110190,406253,451433,185501,43452,49159,134187,79595
MD-03,MD,03,783424,139817,532609,443032,136415,82045,73334,145336,100738
MD-04,MD,04,759354,99783,411197,76402,408050,36835,205231,98104,55285
MD-05,MD,05,789527,132491,466800,335721,314696,23462,63397,125019,83437
MD-06,MD,06,799206,100750,366445,468601,99358,73187,114939,122974,76222
MD-07,MD,07,757857,67625,234357,222842,407696,23627,68413,91567,56726
MD-08,MD,08,767987,167661,821763,334148,128610,105304,153133,145688,115312
ME-01,ME,01,695585,90382,406515,616916,13907,10282,16908,138569,62057
ME-02,ME,02,692232,61959,209168,630889,10939,5572,13358,92192,36869
MI-01,MI,01,783192,64653,195587,699360,9264,4849,18081,101701,45820
MI-02,MI,02,783931,66818,193197,685651,15377,4569,38676,81304,32554
MI-03,MI,03,780181,80413,270431,548928,83118,22487,84156,129188,51966
MI-04,MI,04,777744,74913,235592,584548,60650,19193,71036,108685,47672
MI-05,MI,05,775371,72641,207526,658767,29373,5660,42803,82450,36264
MI-06,MI,06,770335,109835,375813,528616,73943,83224,41267,140974,92293
MI-07,MI,07,779282,84402,248141,624703,42450,26584,45589,122555,54304
MI-08,MI,08,769931,62084,147592,567834,113127,8877,43345,86931,36202
MI-09,MI,09,779020,79737,239639,685595,18024,11039,32231,103152,46390
MI-10,MI,10,771321,80174,241258,548095,105257,52725,24960,105889,49254
MI-11,MI,11,775738,107044,347574,520531,98208,69062,43394,161948,89900
MI-12,MI,12,762092,64611,178374,351831,332236,13258,25499,86905,42598
MI-13,MI,13,769622,53973,143223,287174,340319,21568,81008,70670,33563
MN-01,MN,01,715013,82129,238965,585308,28242,20697,54198,99181,36267
MN-02,MN,02,727746,111751,391224,541414,48510,39410,58917,144050,50995
MN-03,MN,03,707472,122420,467453,496116,68450,60080,38744,165363,67732
MN-04,MN,04,706710,95524,364241,440173,74605,95600,53689,138499,59341
MN-05,MN,05,706897,95921,376038,423035,121599,38142,74916,155860,65799
MN-06,MN,06,734857,106298,356985,609934,38324,23387,28800,119413,39696
MN-07,MN,07,717457,77363,219359,627262,10365,6966,40930,87873,26570
MN-08,MN,08,723292,74642,254421,632132,8787,7733,15637,95335,35645
MO-01,MO,01,751936,60984,195776,313999,339354,23045,34925,110898,60261
MO-02,MO,02,768827,92188,293315,637699,22994,36600,24142,147779,75153
MO-03,MO,03,785591,80797,232188,653867,42606,21315,30672,124582,57980
MO-04,MO,04,780539,67834,222984,628173,54209,11338,44587,111966,50449
MO-05,MO,05,774124,66713,190860,524124,131859,7854,70290,81049,33263
MO-06,MO,06,775559,69098,175452,636160,39794,13150,48800,102195,44151
MO-07,MO,07,784978,66417,206741,659594,14139,11068,50940,93260,38678
MO-08,MO,08,770261,56732,158707,670050,28826,6470,20024,69784,29791
MS-01,MS,01,747679,58841,169270,474559,208533,6310,29794,75372,34100
MS-02,MS,02,717857,45177,114628,225184,455202,3499,16554,63051,31149
MS-03,MS,03,730760,55471,143968,427127,243808,8819,21606,82962,38328
MS-04,MS,04,750483,60222,175910,499567,163018,10884,42002,79812,35131
MT-01,MT,01,564704,69929,442277,481047,1725,5458,25021,98104,37627
MT-02,MT,02,552171,69645,272324,452563,2807,3354,25911,82942,26436
NC-01,NC,01,751010,60142,209228,426836,234119,7419,46559,85061,35163
NC-02,NC,02,768339,99483,463736,410301,173841,43670,101603,172344,82671
NC-03,NC,03,756843,57819,169272,401488,205298,10528,98420,73167,30596
NC-04,NC,04,771222,109233,479965,408302,145561,84327,89970,164463,102361
NC-05,NC,05,746519,61952,224765,514517,124288,16375,62128,88466,39691
NC-06,NC,06,766000,70047,240161,468183,144206,28199,90531,103463,40765
NC-07,NC,07,776341,67697,275798,503810,139981,9887,69608,115978,48495
NC-08,NC,08,770664,72716,253608,460508,128527,30626,76233,116826,48259
NC-09,NC,09,774533,70290,246492,442288,165207,14949,103130,97763,39641
NC-10,NC,10,766562,72886,270123,508320,115551,18733,90033,112240,43329
NC-11,NC,11,758596,64929,319103,630022,23766,6828,61318,122794,56071
NC-12,NC,12,762073,85489,423046,265667,280700,41044,142344,148643,61101
NC-13,NC,13,789288,77191,263504,487897,146358,8332,109773,112138,42274
NC-14,NC,14,772412,75343,286673,510453,119231,30131,72199,123121,52940
ND-01,ND,01,784841,76657,249900,641520,25923,12854,36575,118063,35344
NE-01,NE,01,662368,85118,247649,511879,20681,18017,77545,99763,40524
NE-02,NE,02,663503,93579,288567,452393,61237,27605,89171,114928,47864
NE-03,NE,03,652836,71359,170317,525656,8943,4943,85307,74871,25389
NH-01,NH,01,698062,104564,442742,605541,9245,17577,33808,132209,61568
NH-02,NH,02,696806,94883,345507,606883,9459,18161,31575,117486,63161
NJ-01,NJ,01,778774,95233,281929,458843,119426,39760,125034,122863,51358
NJ-02,NJ,02,784512,92542,414359,496997,81669,29559,140589,112478,45735
NJ-03,NJ,03,783448,127381,431144,485215,95018,65048,97330,157746,75370
NJ-04,NJ,04,787249,113083,571230,626731,25886,19382,87812,136347,59619
NJ-05,NJ,05,778455,148673,621033,443323,41237,127286,135636,180997,86269
NJ-06,NJ,06,781232,115026,517109,326724,85527,140649,194906,136856,70814
NJ-07,NJ,07,782380,145320,541563,538794,40370,64811,103953,178642,93969
NJ-08,NJ,08,769833,93451,537615,190237,63230,87242,392213,131917,71259
NJ-09,NJ,09,764477,100416,496460,280841,62541,66795,329875,115079,48688
NJ-10,NJ,10,776244,92090,449893,143331,362453,50934,177389,109244,48192
NJ-11,NJ,11,779024,157288,666276,470790,41302,93452,136028,179508,101324
NJ-12,NJ,12,778182,127818,492526,298153,118000,153811,178195,139352,89178
NM-01,NM,01,706963,71725,269750,315521,17036,18729,295639,110391,63345
NM-02,NM,02,716852,58544,177195,206685,13660,8136,432673,66973,35943
NM-03,NM,03,696431,55947,189176,240215,7877,7746,298301,71842,44192
NV-01,NV,01,772132,79997,408270,301918,69053,60620,286099,89532,32948
NV-02,NV,02,789241,82897,372003,489366,15365,33170,190470,102502,43667
NV-03,NV,03,810463,90265,483157,341792,79948,139864,175247,136879,47127
NV-04,NV,04,812776,76209,306320,293169,121491,45040,291754,76293,29472
NY-01,NY,01,777258,140450,776884,553247,32930,41792,118321,133643,87161
NY-02,NY,02,704332,131946,539906,418466,60717,24728,174872,98966,61940
NY-03,NY,03,773862,157517,903428,414957,26474,182414,117536,158914,93409
NY-04,NY,04,773839,150211,691252,376369,130700,60260,172169,134858,77289
NY-05,NY,05,787924,98351,701217,108539,311478,118391,164399,97998,47659
NY-06,NY,06,732142,90563,830177,179263,31441,298717,194109,127827,58794
NY-07,NY,07,759753,99031,962034,283599,77962,92652,265387,152103,66504
NY-08,NY,08,764087,80173,812580,208750,316955,62535,123991,121146,61551
NY-09,NY,09,732855,81525,941305,236409,293155,65801,82079,118389,62052
NY-10,NY,10,728590,140596,1395541,363722,41326,141665,143485,180083,97979
NY-11,NY,11,752193,101881,761130,388313,48782,145567,143595,118383,57920
NY-12,NY,12,729713,156734,1347698,472142,35511,96140,85116,223876,152858
NY-13,NY,13,771848,58691,760999,119301,182719,40563,398143,110914,62297
NY-14,NY,14,723185,77748,713581,129133,103112,83038,380663,93726,41765
NY-15,NY,15,748866,57299,553589,69008,239309,20635,392126,67105,31816
NY-16,NY,16,770238,153812,819054,306074,151915,49212,226206,133776,90500
NY-17,NY,17,776365,147276,636817,490106,55535,37592,162733,134957,87569
NY-18,NY,18,786123,102339,396972,491956,75095,22736,151620,107715,66919
NY-19,NY,19,775070,76197,232777,620993,30964,28247,56718,98971,64448
NY-20,NY,20,781963,94344,290696,566339,65764,42165,57871,124595,78770
NY-21,NY,21,769181,72432,184432,681896,16235,7455,28872,81273,47868
NY-22,NY,22,768092,80685,199046,587522,63096,30149,45190,102536,62754
NY-23,NY,23,769818,71460,167058,685799,16146,7640,28906,94063,59338
NY-24,NY,24,772851,74460,174115,679534,18347,6683,33310,81226,47702
NY-25,NY,25,771335,83065,217538,525953,101670,28822,75790,124670,74448
NY-26,NY,26,773303,67934,197859,509665,121062,45964,58681,106757,63620
OH-01,OH,01,794574,87308,301361,557535,128794,30265,35207,134089,66901
OH-02,OH,02,783570,62722,172321,721423,14131,6276,12687,73681,36103
OH-03,OH,03,786675,88514,330775,422247,220790,43687,52820,140681,63537
OH-04,OH,04,794154,78434,207022,685659,35148,10975,24270,84223,36554
OH-05,OH,05,789791,71638,183204,649381,35038,9299,62696,83918,38957
OH-06,OH,06,777553,62834,159708,671964,44477,3792,26964,71520,30945
OH-07,OH,07,782884,86993,249181,670090,26057,22799,33903,130779,60233
OH-08,OH,08,786280,77255,222534,567354,105733,28198,39324,117535,51817
OH-09,OH,09,780950,74042,180096,587827,89240,9915,57727,93850,42062
OH-10,OH,10,788962,73834,190408,566512,125936,17888,33503,99887,56852
OH-11,OH,11,772989,60401,169891,317932,332380,21512,61673,99967,53842
OH-12,OH,12,801541,79120,237986,687756,34906,28720,18108,110421,50303
OH-13,OH,13,785279,69236,181396,588693,98742,27871,23975,119436,52434
OH-14,OH,14,784730,71931,193567,679894,36090,7113,27623,100541,44170
OH-15,OH,15,800362,80811,252638,581646,93417,31965,52261,114072,48895
OK-01,OK,01,808885,76803,222485,478089,66545,28199,118071,116372,42410
OK-02,OK,02,804800,55197,150130,500221,24171,7506,50047,74450,27048
OK-03,OK,03,802119,63408,145194,486755,38433,12817,169211,76518,28147
OK-04,OK,04,802502,65788,162864,527584,53833,20706,86912,93222,38926
OK-05,OK,05,810327,75273,221120,510011,89453,25955,86563,132376,51598
OR-01,OR,01,710770,97979,561720,459365,15942,68946,112019,144257,69107
OR-02,OR,02,714387,65424,334459,539584,4667,5675,110581,80164,32003
OR-03,OR,03,698187,96558,571256,447913,36928,50272,103591,132007,56918
OR-04,OR,04,706971,69397,401273,559518,5900,18418,66859,95176,46169
OR-05,OR,05,715302,94983,569128,561547,6148,20863,77851,128089,51366
OR-06,OR,06,708676,90428,485285,468057,8302,24492,153698,110359,43562
PA-01,PA,01,766023,120550,465153,606228,27542,46286,51008,147988,75028
PA-02,PA,02,746267,64763,249648,267298,174823,72999,193570,85022,40750
PA-03,PA,03,761745,70555,317376,238818,390510,46794,47565,120915,71515
PA-04,PA,04,777397,115288,401039,581099,64173,47980,50145,153699,82757
PA-05,PA,05,765711,101471,363595,444538,183079,51401,51102,122023,65783
PA-06,PA,06,778672,116596,411181,535667,37821,40464,131834,150347,78277
PA-07,PA,07,775710,85421,283363,520760,42022,23531,161404,109686,50459
PA-08,PA,08,768542,71775,219273,559876,45863,15126,115411,90971,44820
PA-09,PA,09,765462,71849,203404,664912,16932,6625,51804,79643,35802
PA-10,PA,10,779108,81905,235715,548293,76453,37812,81160,116348,52841
PA-11,PA,11,773082,89432,293443,627290,26435,16042,74712,104056,46137
PA-12,PA,12,761976,69572,194715,556773,112769,31827,23374,131288,66353
PA-13,PA,13,765686,68633,191937,684648,17114,5504,30420,77083,34296
PA-14,PA,14,756629,66178,167310,686244,23036,6074,12823,94486,41938
PA-15,PA,15,759202,65981,167875,691073,14044,12527,17385,78396,38348
PA-16,PA,16,763042,68692,182727,668512,31601,10109,22105,102937,45372
PA-17,PA,17,754385,85457,234890,623339,52275,24321,19459,152143,70314
RI-01,RI,01,545862,94738,469988,344826,31942,20235,107952,86673,42090
RI-02,RI,02,555939,102108,447245,404613,22283,17892,86963,88684,42839
SC-01,SC,01,754761,92499,487958,511530,131079,13755,64206,139800,65886
SC-02,SC,02,749526,69839,210920,448384,196019,16589,54863,111928,54101
SC-03,SC,03,747728,61448,205926,535736,122288,7163,47879,83918,36747
SC-04,SC,04,769683,71555,279533,493443,133118,19997,86711,117943,52517
SC-05,SC,05,758422,64072,210099,484660,178132,14938,46122,97246,46585
SC-06,SC,06,752578,55974,212338,316381,347073,11880,49147,91852,41599
SC-07,SC,07,763527,55626,192027,487849,194507,8230,41448,85321,37367
SD-01,SD,01,907428,75081,257400,723729,19404,12663,43777,132182,40880
TN-01,TN,01,782388,57494,213386,692343,16667,6498,41376,82377,33715
TN-02,TN,02,792481,71185,284253,658401,44331,13290,46270,114980,50846
TN-03,TN,03,789290,68087,252612,611372,75805,11328,51674,101375,43182
TN-04,TN,04,785306,68467,270041,507312,114747,21814,101997,104424,41164
TN-05,TN,05,773161,63347,225510,477772,206237,10110,47671,94342,38363
TN-06,TN,06,793220,67859,316092,606467,80276,13850,60578,119953,49933
TN-07,TN,07,793458,87070,385914,572596,105701,14948,60418,122361,52785
TN-08,TN,08,765633,70544,211049,449406,207379,19255,56957,106851,49632
TN-09,TN,09,791446,69476,266834,443311,239352,22244,56586,95876,42624
TX-01,TX,01,780259,63483,170558,463194,134783,8759,138641,80727,30693
TX-02,TX,02,803922,106072,334833,372976,99844,48475,247422,137580,56962
TX-03,TX,03,832937,99405,335376,442532,95415,95052,162480,151027,69279
TX-04,TX,04,827816,100012,372218,465406,71831,137683,110323,173207,92125
TX-05,TX,05,802489,77965,260651,364065,132453,24724,246311,92846,36379
TX-06,TX,06,802299,85969,290602,356577,103404,42764,267547,107428,43747
TX-07,TX,07,790174,125841,578555,219140,131433,130504,279453,144736,73609
TX-08,TX,08,821716,84120,286765,325531,133044,49107,281255,115607,44058
TX-09,TX,09,766657,64808,185540,177763,67256,10854,493568,45013,16240
TX-10,TX,10,791739,83725,347324,471570,70488,42925,171181,134256,62449
TX-11,TX,11,791460,74079,226071,357322,50198,31696,323811,111693,44117
TX-12,TX,12,801173,83754,322665,402694,77723,31417,258616,105700,42656
TX-13,TX,13,781057,67474,158457,449609,51599,18983,226689,90406,32264
TX-14,TX,14,796986,80582,243322,392681,128757,46435,196794,108317,44706
