state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
AK-01,AK,01,735706,92788,352900,424584,21172,46719,53803,97368,41826
AL-01,AL,01,729974,63481,198189,532104,117054,9209,36992,82647,35521
AL-02,AL,02,716720,53284,148826,293187,356413,14354,28114,76191,36027
AL-03,AL,03,726118,59649,175421,515391,142287,10986,29589,70467,34929
AL-04,AL,04,728091,61002,170546,586565,49224,4153,61469,65556,28882
AL-05,AL,05,745817,79065,241529,508445,130512,13236,52412,112337,57946
AL-06,AL,06,718978,87129,275513,510828,129402,12231,42056,117418,51563
AL-07,AL,07,721070,50220,151205,278340,378018,9183,33503,75646,34403
AR-01,AR,01,752675,52160,128650,552952,124318,5007,32121,61426,25960
AR-02,AR,02,765617,63129,193709,509364,159073,11912,49611,105154,46095
AR-03,AR,03,784271,74805,257417,485623,20508,26433,134948,103156,45518
AR-04,AR,04,746829,53217,131811,507109,142704,5395,58891,65180,25075
AZ-01,AZ,01,808152,120654,772248,554390,28137,35808,140265,192470,84026
AZ-02,AZ,02,827603,59504,258259,452730,19294,10067,150715,93009,43521
AZ-03,AZ,03,810154,73717,352095,155849,82998,18728,512190,62947,27553
AZ-04,AZ,04,800203,90265,410246,442136,40434,44771,212046,132975,59037
AZ-05,AZ,05,841114,114053,503959,554608,27971,48800,155758,145477,64147
AZ-06,AZ,06,815579,75685,294107,501651,28340,24350,208463,131904,70359
AZ-07,AZ,07,811575,60061,233656,233064,28585,15695,486545,71017,32516
AZ-08,AZ,08,804303,94262,445417,503863,30120,39731,177988,118356,55624
AZ-09,AZ,09,860154,69835,309368,481302,36442,18210,269835,87082,39527
CA-01,CA,01,750474,75181,447227,448583,12171,29801,207579,96586,36898
CA-02,CA,02,755888,75471,514118,526816,10624,29615,120517,132199,57444
CA-03,CA,03,767221,102379,630130,433451,40314,84641,149099,131776,54562
CA-04,CA,04,777238,94440,618703,384564,18982,76959,243369,108238,42716
CA-05,CA,05,775297,87506,455643,419104,18613,44261,241467,99579,36757
CA-06,CA,06,759946,99906,534329,381779,47568,92270,173630,118176,42830
CA-07,CA,07,764112,106066,628959,306377,60057,150090,182045,125192,43903
CA-08,CA,08,761167,105631,666180,231239,90265,129218,248587,112967,42000
CA-09,CA,09,766939,102399,581258,191896,74822,147719,299074,83722,27530
CA-10,CA,10,764116,156512,1113322,355654,34753,157524,158896,169896,79095
CA-11,CA,11,721012,161048,1514938,292061,35081,229180,108292,210091,104915
CA-12,CA,12,750273,125904,1054729,246606,110680,151981,177923,154326,88592
CA-13,CA,13,778347,72108,422422,156803,24639,60598,508641,46391,13390
CA-14,CA,14,736992,162925,1184307,172518,32824,312540,172848,158112,85387
CA-15,CA,15,737465,164453,1475673,203733,17714,274322,191190,157438,70711
CA-16,CA,16,745494,190786,1651452,299311,13985,235195,150278,151824,116257
CA-17,CA,17,750502,182422,1444932,152524,15213,417634,128380,165646,141468
CA-18,CA,18,756292,107874,790386,138682,14949,81374,495783,76533,28838
CA-19,CA,19,749424,127111,1106885,353201,13534,142568,193906,143720,73713
CA-20,CA,20,783412,81494,352082,336870,24734,51200,329190,83386,34399
CA-21,CA,21,759667,65921,324313,149075,31503,72487,480606,55162,19431
CA-22,CA,22,771377,59888,280286,114062,34949,32531,570139,35871,11486
CA-23,CA,23,805663,69442,336840,294808,63769,31252,368866,63306,28240
CA-24,CA,24,755846,103060,924588,368824,10854,36226,301292,115303,50105
CA-25,CA,25,751741,68688,362237,206446,24045,20994,474104,70868,28715
CA-26,CA,26,752670,116132,809933,312378,18261,57892,326326,120951,52370
CA-27,CA,27,741948,96888,587192,218781,69119,68016,349263,95636,35706
CA-28,CA,28,749400,119483,1058330,193175,30603,279777,208921,152402,69395
CA-29,CA,29,732571,85947,802841,159526,28758,57084,464676,96056,26197
CA-30,CA,30,753193,106985,1180465,405646,28719,93926,180335,199228,69907
CA-31,CA,31,727967,101562,742408,123581,26179,134815,417189,98940,37474
CA-32,CA,32,767689,142046,1226937,396545,29054,97155,195300,174676,69949
CA-33,CA,33,765419,91716,500785,135804,68543,55775,472811,69355,30740
